date,n,ic,rankic,icir,rankicir
2023-01-03,307,0.00545897,-0.03794273,,
2023-01-04,307,-0.04290431,-0.05327546,,
2023-01-05,307,0.00234093,-0.06010547,,
2023-01-06,307,-0.07232061,-0.06921231,,
2023-01-09,307,0.00351583,-0.04086103,,
2023-01-10,307,-0.00919601,-0.05211976,,
2023-01-11,307,0.08214484,0.07789603,,
2023-01-12,307,0.14394905,0.17325182,,
2023-01-13,307,0.10180949,0.19385694,,
2023-01-16,307,0.09489056,0.19362137,,
2023-01-17,307,0.16518730,0.16563508,,
2023-01-18,307,0.15821703,0.22794917,,
2023-01-19,307,0.20153963,0.21464191,,
2023-01-20,307,0.27430763,0.32156512,,
2023-01-30,307,0.32408665,0.31618900,,
2023-01-31,307,0.38213911,0.32890204,,
2023-02-01,307,0.18338302,0.20988509,,
2023-02-02,307,0.28343066,0.20852860,,
2023-02-03,307,0.24268447,0.19249743,,
2023-02-06,307,0.24896813,0.14321485,,
2023-02-07,307,0.31472429,0.14124010,,
2023-02-08,307,0.28033935,0.16000053,,
2023-02-09,307,0.29382694,0.04077120,,
2023-02-10,307,0.05997622,-0.02335835,,
2023-02-13,307,0.13165560,-0.02697450,,
2023-02-14,307,0.01408265,-0.05710086,,
2023-02-15,307,-0.00715099,-0.07657699,,
2023-02-16,307,0.02015624,-0.03415418,,
2023-02-17,308,0.12183373,0.07996945,,
2023-02-20,308,-0.04006253,-0.00818710,,
2023-02-21,308,0.13910667,0.05481667,,
2023-02-22,308,0.11596551,-0.02572139,,
2023-02-23,308,0.12447761,-0.00564450,,
2023-02-24,308,0.00956997,-0.07168469,,
2023-02-27,308,0.05073161,0.03037660,,
2023-02-28,308,-0.04780795,-0.09840898,,
2023-03-01,308,-0.02498999,-0.05176871,,
2023-03-02,308,0.17855835,-0.03326945,,
2023-03-03,308,0.01286420,0.00661199,,
2023-03-06,308,0.10660329,-0.06201739,,
2023-03-07,308,0.04250146,0.04783982,,
2023-03-08,308,0.01518620,-0.02119224,,
2023-03-09,308,0.12140301,-0.03648836,,
2023-03-10,308,0.03148174,0.00133000,,
2023-03-13,308,0.05933722,0.08527725,,
2023-03-14,309,0.24377420,0.17085031,,
2023-03-15,309,0.23556988,0.12062059,,
2023-03-16,309,0.23472401,0.14115144,,
2023-03-17,309,0.36991556,0.22466814,,
2023-03-20,309,0.24692938,0.17526201,,
2023-03-21,309,0.13099802,0.04886032,,
2023-03-22,309,0.30092413,0.07020365,,
2023-03-23,309,0.05479203,0.01315717,,
2023-03-24,309,0.14371058,0.04573758,,
2023-03-27,309,0.16102847,0.03308777,,
2023-03-28,309,0.06276632,0.03869277,,
2023-03-29,309,0.11981300,0.10433412,,
2023-03-30,311,0.16312181,0.09811891,,
2023-03-31,311,0.02159380,0.02618999,,
2023-04-03,311,0.06539690,0.01280642,,
2023-04-04,311,0.15242828,0.10171403,,
2023-04-06,311,-0.06052698,-0.03762480,,
2023-04-07,311,0.00128679,-0.04286757,,
2023-04-10,311,-0.00758784,-0.09506504,,
2023-04-11,311,-0.03258389,-0.10093722,,
2023-04-12,311,-0.00767773,-0.11105875,,
2023-04-13,311,-0.04585496,-0.15179493,,
2023-04-14,311,-0.06092209,-0.19703087,,
2023-04-17,311,-0.04470416,-0.13559151,,
2023-04-18,312,-0.05485819,-0.20866367,,
2023-04-19,312,-0.08556472,-0.15858572,,
2023-04-20,312,-0.24701264,-0.09895076,,
2023-04-21,312,-0.07167929,-0.14430929,,
2023-04-24,311,-0.03821962,-0.12390491,,
2023-04-25,311,-0.15929335,-0.08783441,,
2023-04-26,312,-0.19789768,-0.22583091,,
2023-04-27,313,-0.11353629,-0.14831054,,
2023-04-28,311,-0.10535712,-0.09807335,,
2023-05-04,310,-0.07303709,-0.06047409,,
2023-05-05,310,0.07492197,0.02899850,,
2023-05-08,310,0.04567405,0.12023960,,
2023-05-09,310,0.12164973,0.14056252,,
2023-05-10,310,0.00076777,0.05907963,,
2023-05-11,310,0.08663548,0.02893713,,
2023-05-12,310,0.11821661,0.11072649,,
2023-05-15,310,0.09141915,0.09412643,,
2023-05-16,310,0.16445379,0.14499815,,
