date,n,ic,rankic,icir,rankicir
2023-01-03,324,0.07902456,0.05570009,,
2023-01-04,324,0.20870032,0.17579138,,
2023-01-05,324,-0.08869246,-0.03329817,,
2023-01-06,325,-0.06062576,0.02063432,,
2023-01-09,325,0.02399819,0.04486918,,
2023-01-10,325,-0.16032558,-0.10272748,,
2023-01-11,325,-0.00610396,0.01295258,,
2023-01-12,325,0.08990223,0.13631827,,
2023-01-13,325,0.08156092,0.05167867,,
2023-01-16,325,-0.07122686,-0.06139988,,
2023-01-17,325,0.05620941,-0.00825189,,
2023-01-18,325,-0.20822683,-0.21091186,,
2023-01-19,325,0.07002487,0.08682729,,
2023-01-20,325,-0.22816364,-0.21403770,,
2023-01-30,325,-0.08363299,-0.16049546,,
2023-01-31,325,0.15968232,0.16468677,,
2023-02-01,326,0.01930964,0.08440488,,
2023-02-02,326,0.02412651,-0.01300394,,
2023-02-03,326,-0.02406548,-0.09589777,,
2023-02-06,326,nan,0.11394585,,
2023-02-07,326,nan,0.02743347,,
2023-02-08,326,nan,0.14053164,,
2023-02-09,326,nan,0.03696830,,
2023-02-10,326,nan,0.12721618,,
2023-02-13,326,nan,-0.02148031,,
2023-02-14,326,nan,0.08230652,,
2023-02-15,326,nan,0.03130498,,
2023-02-16,326,-0.26496977,-0.26641214,,
2023-02-17,326,-0.25928159,-0.16906511,,
2023-02-20,326,0.04030495,0.05510155,,
2023-02-21,326,-0.04281694,-0.05722835,,
2023-02-22,326,-0.14828292,-0.21943611,,
2023-02-23,326,0.09683147,0.03659931,,
2023-02-24,326,-0.12587708,-0.09488549,,
2023-02-27,326,-0.14378203,-0.16680445,,
2023-02-28,326,-0.08597048,-0.12838979,,
2023-03-01,326,-0.12452529,-0.12371214,,
2023-03-02,326,0.13435071,0.12876745,,
2023-03-03,326,0.04477981,-0.02821596,,
2023-03-06,326,-0.11800403,-0.11933542,,
2023-03-07,326,-0.04662798,0.02034436,,
2023-03-08,326,0.00437907,0.07427309,,
2023-03-09,326,-0.11641909,-0.10418515,,
2023-03-10,326,0.02921249,-0.02231630,,
2023-03-13,326,-0.13207269,-0.16589419,,
2023-03-14,326,0.01850743,0.07298274,,
2023-03-15,326,-0.18663452,-0.23775788,,
2023-03-16,326,0.10423922,0.05677216,,
2023-03-17,326,0.26841149,0.25345577,,
2023-03-20,326,-0.07093648,-0.08714082,,
2023-03-21,326,-0.06899831,-0.05397265,,
2023-03-22,326,0.07771747,0.12167035,,
2023-03-23,326,0.18763178,0.23186489,,
2023-03-24,326,0.11385787,0.08494818,,
2023-03-27,326,0.17889533,0.20375983,,
2023-03-28,326,0.06807950,0.02938262,,
2023-03-29,326,-0.06412028,-0.04540075,,
2023-03-30,326,-0.19877417,-0.17141027,,
2023-03-31,326,-0.14131790,-0.14408146,,
2023-04-03,326,-0.13728484,-0.10427140,,
2023-04-04,326,-0.09632094,-0.04189203,,
2023-04-06,326,-0.02657567,0.01326850,,
2023-04-07,326,-0.07958002,-0.04411468,,
2023-04-10,326,-0.00724938,-0.05457489,,
2023-04-11,326,0.22930380,0.20980187,,
2023-04-12,326,-0.28247712,-0.25795768,,
2023-04-13,326,nan,0.08633953,,
2023-04-14,326,nan,-0.03622143,,
2023-04-17,326,-0.03669957,-0.01488466,,
2023-04-18,326,-0.12156054,-0.17357678,,
2023-04-19,326,0.01943008,0.09852599,,
2023-04-20,326,-0.04716708,-0.03570913,,
2023-04-21,326,-0.13342393,-0.11890643,,
2023-04-24,326,0.18798696,0.17133940,,
2023-04-25,326,-0.06783676,-0.08203409,,
2023-04-26,326,0.02148136,-0.01837512,,
2023-04-27,326,-0.07076880,-0.09744658,,
2023-04-28,326,0.00707083,0.01624311,,
2023-05-04,326,-0.11517216,-0.11315070,,
2023-05-05,326,0.00508186,0.01349248,,
2023-05-08,326,0.11912755,0.18917930,,
2023-05-09,326,0.18753471,0.11084533,,
2023-05-10,326,0.10118550,0.14835921,,
2023-05-11,326,-0.13811663,0.01079279,,
2023-05-12,326,0.05290974,0.07354610,,
2023-05-15,326,-0.09028045,-0.08365866,,
2023-05-16,326,0.10424342,-0.04318692,,
2023-05-17,326,0.13172945,0.20849762,,
2023-05-18,326,0.17536255,0.22445122,,
2023-05-19,326,0.10750343,0.17491021,,
2023-05-22,326,0.06087321,0.07198365,,
2023-05-23,326,-0.00639602,-0.07248611,,
2023-05-24,326,-0.01742294,-0.02953364,,
2023-05-25,326,-0.02483888,-0.14788625,,
2023-05-26,326,-0.18503088,-0.17542489,,
2023-05-29,326,-0.08836004,-0.08405678,,
2023-05-30,326,0.05405009,0.05403512,,
2023-05-31,326,0.16562642,0.20621913,,
2023-06-01,326,-0.10851464,-0.14260922,,
2023-06-02,326,0.02069128,0.00048106,,
2023-06-05,326,-0.16965292,-0.12758833,,
2023-06-06,326,-0.24771228,-0.23984529,,
2023-06-07,326,-0.11729133,-0.08888659,,
2023-06-08,326,0.23579558,0.23877345,,
2023-06-09,327,-0.11463893,0.05887950,,
2023-06-12,327,0.03059105,0.15319194,,
2023-06-13,327,nan,0.10452296,,
2023-06-14,327,nan,0.10420031,,
2023-06-15,327,nan,0.04604697,,
2023-06-16,327,nan,-0.04599728,,
2023-06-19,327,nan,0.02981217,,
2023-06-20,327,nan,0.09113053,,
2023-06-21,327,nan,-0.01842263,,
2023-06-26,327,-0.20097684,-0.14670532,,
2023-06-27,327,-0.11188752,-0.11516012,,
2023-06-28,327,-0.01770406,-0.06903977,,
2023-06-29,327,0.05274443,0.02936943,,
2023-06-30,327,0.04430664,-0.00302687,,
2023-07-03,327,0.03688358,0.01315687,,
2023-07-04,327,-0.03577686,-0.03302249,,
2023-07-05,327,-0.18056448,-0.17527528,,
2023-07-06,327,0.14622194,0.11148808,,
2023-07-07,327,0.07405114,0.03094482,,
2023-07-10,327,-0.00335468,0.06685344,,
2023-07-11,327,-0.08636945,-0.09825330,,
2023-07-12,327,0.15839200,0.03038848,,
2023-07-13,327,0.14264274,0.04219352,,
2023-07-14,327,0.05355640,0.07342744,,
2023-07-17,327,-0.04056872,-0.06199362,,
2023-07-18,327,-0.11390260,0.05090468,,
2023-07-19,327,0.02122956,0.02065668,,
2023-07-20,327,0.06264880,-0.05967425,,
2023-07-21,327,0.00646996,0.01443438,,
2023-07-24,327,0.20368849,0.17936184,,
2023-07-25,327,0.06756336,0.07277067,,
2023-07-26,327,-0.17278356,-0.15367545,,
2023-07-27,327,-0.03193929,-0.01950890,,
2023-07-28,327,0.15710769,0.10000867,,
2023-07-31,327,-0.09349198,-0.09701945,,
2023-08-01,327,-0.18132208,-0.08378968,,
2023-08-02,327,-0.06075045,-0.08436022,,
2023-08-03,327,0.07539086,0.08870636,,
2023-08-04,327,0.02635112,0.03398846,,
2023-08-07,327,0.23525382,0.15053632,,
2023-08-08,328,-0.04428216,-0.06078864,,
2023-08-09,328,0.05778901,-0.03561387,,
2023-08-10,328,-0.07056001,-0.08675969,,
2023-08-11,328,-0.24396464,-0.27387608,,
2023-08-14,328,-0.05855717,-0.09968021,,
2023-08-15,328,0.13019726,0.13688502,,
2023-08-16,328,-0.21394742,-0.15070360,,
2023-08-17,328,0.01557549,0.01847000,,
2023-08-18,328,0.00972343,-0.10554428,,
2023-08-21,328,-0.02398811,-0.02691743,,
2023-08-22,328,0.03721974,0.07285894,,
2023-08-23,328,-0.29506029,-0.20673980,,
2023-08-24,328,0.01763432,-0.03377542,,
2023-08-25,328,0.23732949,0.18406702,,
2023-08-28,328,-0.00697195,0.05492686,,
2023-08-29,328,0.22708818,0.22200664,,
2023-08-30,328,0.09401055,0.08612744,,
2023-08-31,328,-0.04368216,-0.00239990,,
2023-09-01,328,-0.04453711,-0.02049294,,
2023-09-04,328,-0.04575173,-0.02149378,,
2023-09-05,328,-0.15773677,-0.16062810,,
2023-09-06,328,-0.05662807,-0.04075514,,
2023-09-07,328,0.04511476,0.07657021,,
2023-09-08,328,0.01697275,0.02448000,,
2023-09-11,328,0.09903562,0.03650153,,
2023-09-12,328,-0.03513401,-0.05161177,,
2023-09-13,328,-0.00524198,-0.00123826,,
2023-09-14,328,0.05816807,0.09436263,,
2023-09-15,328,-0.05522604,-0.08671932,,
2023-09-18,328,-0.10717281,-0.02498816,,
2023-09-19,328,-0.05269151,-0.07651139,,
2023-09-20,328,-0.02520250,0.04008540,,
2023-09-21,328,0.09124536,0.02867472,,
2023-09-22,328,-0.01533221,-0.06585452,,
2023-09-25,328,-0.12102723,-0.02213554,,
2023-09-26,328,-0.01985071,-0.05406184,,
2023-09-27,328,0.02903709,0.12071212,,
2023-09-28,328,0.04376537,0.05986188,,
2023-10-09,328,-0.05136972,0.02438885,,
2023-10-10,328,-0.16475275,-0.17460855,,
2023-10-11,328,0.04795814,0.02331549,,
2023-10-12,328,0.03130008,0.01072289,,
2023-10-13,328,-0.14210089,-0.07734749,,
2023-10-16,328,-0.06206287,-0.06726263,,
2023-10-17,328,-0.03350622,-0.03514874,,
2023-10-18,328,-0.12628789,-0.12906574,,
2023-10-19,328,0.07724094,0.06775881,,
2023-10-20,328,0.01024768,0.07970724,,
2023-10-23,328,-0.04196346,0.03170324,,
2023-10-24,328,-0.05354313,-0.03492369,,
2023-10-25,328,0.16522095,0.12532626,,
2023-10-26,328,0.09658034,0.06111860,,
2023-10-27,328,0.09251811,0.05625368,,
2023-10-30,328,0.13404401,0.12548883,,
2023-10-31,328,0.00838329,0.00651002,,
2023-11-01,328,0.12199140,0.12532249,,
2023-11-02,328,-0.12931957,-0.06602296,,
2023-11-03,328,-0.12424082,-0.14817885,,
2023-11-06,328,0.11242918,0.10931843,,
2023-11-07,328,-0.07617075,-0.03053845,,
2023-11-08,328,0.07794821,0.01792720,,
2023-11-09,328,-0.00979222,-0.08331198,,
2023-11-10,328,-0.04197470,0.03972829,,
2023-11-13,328,0.11985843,0.09652046,,
2023-11-14,328,0.12568967,0.05182085,,
2023-11-15,328,-0.01802688,-0.02842166,,
2023-11-16,328,-0.01557051,0.11139905,,
2023-11-17,328,0.17792244,0.08870492,,
2023-11-20,328,-0.01991124,-0.00702480,,
2023-11-21,328,0.10985141,0.08186076,,
2023-11-22,328,-0.08527972,-0.06904420,,
2023-11-23,328,0.01704949,-0.05421347,,
2023-11-24,328,-0.03075624,0.02774677,,
2023-11-27,328,0.17665291,0.11522370,,
2023-11-28,328,-0.13160041,-0.11643730,,
2023-11-29,328,-0.05443060,-0.11433152,,
2023-11-30,328,-0.05074002,-0.05557145,,
2023-12-01,328,-0.09700498,-0.11715110,,
2023-12-04,328,-0.17035499,-0.08849215,,
2023-12-05,328,-0.02220455,-0.02344760,,
2023-12-06,328,-0.05785412,-0.02585738,,
2023-12-07,328,0.08752202,0.09096211,,
2023-12-08,328,0.08914621,0.08864296,,
2023-12-11,328,0.08312217,0.07541932,,
2023-12-12,328,0.06404748,-0.00346818,,
2023-12-13,328,-0.05930794,-0.04564953,,
2023-12-14,328,-0.01127629,0.04122156,,
2023-12-15,328,0.10240254,-0.01290752,,
2023-12-18,328,0.15000538,0.06488340,,
2023-12-19,328,-0.04148154,0.04986834,,
2023-12-20,328,-0.20204535,-0.13410766,,
2023-12-21,328,0.10962560,0.03005300,,
2023-12-22,328,-0.14504788,-0.12063542,,
2023-12-25,328,0.11313490,0.08142390,,
2023-12-26,328,0.04418014,0.06657171,,
2023-12-27,328,0.00736613,0.06760830,,
2023-12-28,328,-0.02686518,-0.08308127,,
2023-12-29,328,0.01341671,-0.04081606,,
2024-01-02,328,-0.16878237,-0.09561098,,
2024-01-03,328,-0.07028608,-0.04450677,,
2024-01-04,328,-0.03099307,-0.05737035,,
2024-01-05,328,-0.00590335,-0.01123170,,
2024-01-08,328,-0.09401315,-0.02750847,,
2024-01-09,328,-0.13749951,-0.06486878,,
2024-01-10,328,-0.05825565,-0.08755692,,
2024-01-11,328,-0.06385140,-0.12950143,,
2024-01-12,328,-0.25255308,-0.15421326,,
2024-01-15,328,-0.00650276,0.00579014,,
2024-01-16,328,-0.10560720,-0.02259145,,
2024-01-17,328,-0.07662012,-0.09771066,,
2024-01-18,328,0.00716563,0.00933766,,
2024-01-19,328,0.03255092,-0.03203230,,
2024-01-22,328,-0.06187752,-0.07267884,,
2024-01-23,328,-0.03076615,-0.04205815,,
2024-01-24,328,0.09110565,0.12972411,,
2024-01-25,328,0.19560435,0.12091020,,
2024-01-26,328,-0.07948159,-0.06193026,,
2024-01-29,328,-0.04751040,-0.00016924,,
2024-01-30,328,0.12297313,0.15443500,,
2024-01-31,328,-0.08693107,-0.11842736,,
2024-02-01,328,0.17911370,0.25413812,,
2024-02-02,328,0.09930878,0.05909348,,
2024-02-05,328,0.15425126,0.11281896,,
2024-02-06,328,0.11317987,0.13070363,,
2024-02-07,328,-0.00330083,0.00721232,,
2024-02-08,328,0.01293317,0.00438651,,
