candidate,candidate_label,market,topk,variant,linear_cost_bps,aum_multiplier,impact_bps,days,candidate_ann_return,menu_ann_return,ann_diff,candidate_sharpe,menu_sharpe,sharpe_diff,candidate_mdd,menu_mdd,mdd_diff,ann_win,sharpe_win,mdd_win
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,0.50,0.00,831,1.21456111,1.27608556,-0.06152445,4.96121516,4.48319299,0.47802217,-0.14692241,-0.17485119,0.02792878,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,0.50,5.00,831,1.20404290,1.27046725,-0.06642435,4.93207175,4.47031429,0.46175747,-0.14726157,-0.17638805,0.02912648,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,0.50,10.00,831,1.19357417,1.26486263,-0.07128846,4.90290220,4.45742674,0.44547546,-0.14761473,-0.17792209,0.03030736,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,0.50,20.00,831,1.17278419,1.25369434,-0.08091015,4.84448641,4.43162534,0.41286106,-0.14838877,-0.18098171,0.03259294,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,1.00,0.00,831,1.21456111,1.27608556,-0.06152445,4.96121516,4.48319299,0.47802217,-0.14692241,-0.17485119,0.02792878,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,1.00,5.00,831,1.19970062,1.26814408,-0.06844346,4.91999248,4.46497716,0.45501532,-0.14740202,-0.17702381,0.02962179,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,1.00,10.00,831,1.18493888,1.26022996,-0.07529107,4.87871786,4.44674369,0.43197417,-0.14793542,-0.17919079,0.03125537,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,1.00,20.00,831,1.15570907,1.24448342,-0.08877436,4.79601779,4.41022446,0.38579333,-0.14902951,-0.18350786,0.03447836,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,2.00,0.00,831,1.21456111,1.27608556,-0.06152445,4.96121516,4.48319299,0.47802217,-0.14692241,-0.17485119,0.02792878,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,2.00,5.00,831,1.19357417,1.26486263,-0.07128846,4.90290220,4.45742674,0.44547546,-0.14761473,-0.17792209,0.03030736,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,2.00,10.00,831,1.17278419,1.25369434,-0.08091015,4.84448641,4.43162534,0.41286106,-0.14838877,-0.18098171,0.03259294,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,2.00,20.00,831,1.13178780,1.23152064,-0.09973284,4.72736030,4.37991888,0.34744142,-0.14993488,-0.18706727,0.03713239,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,5.00,0.00,831,1.21456111,1.27608556,-0.06152445,4.96121516,4.48319299,0.47802217,-0.14692241,-0.17485119,0.02792878,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,5.00,5.00,831,1.18146845,1.25836567,-0.07689722,4.86896681,4.44243680,0.42653001,-0.14806463,-0.17970152,0.03163689,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,5.00,10.00,831,1.14886553,1.24078200,-0.09191647,4.77646644,4.40159337,0.37487306,-0.14928759,-0.18452371,0.03523612,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,5.00,20.00,831,1.08510032,1.20601922,-0.12091890,4.59076529,4.31965195,0.27111335,-0.15172860,-0.19408432,0.04235572,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,10.00,0.00,831,1.21456111,1.27608556,-0.06152445,4.96121516,4.48319299,0.47802217,-0.14692241,-0.17485119,0.02792878,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,10.00,5.00,831,1.16790487,1.25106581,-0.08316093,4.83068168,4.42552938,0.40515230,-0.14857140,-0.18170234,0.03313095,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,10.00,10.00,831,1.12222217,1.22631765,-0.10409548,4.69965566,4.36769278,0.33196289,-0.15029948,-0.18849735,0.03819787,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,raw,10.00,10.00,20.00,831,1.03369730,1.17762451,-0.14392721,4.43628426,4.25152081,0.18476345,-0.15374584,-0.20192074,0.04817490,False,True,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,0.50,0.00,831,0.71204649,1.00750959,-0.29546310,3.97061586,4.14513826,-0.17452240,-0.22430179,-0.23572026,0.01141846,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,0.50,5.00,831,0.70545288,1.00296961,-0.29751673,3.94310521,4.13231268,-0.18920747,-0.22652975,-0.23670727,0.01017752,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,0.50,10.00,831,0.69888429,0.99843976,-0.29955547,3.91555254,4.11947744,-0.20392491,-0.22875138,-0.23769303,0.00894165,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,0.50,20.00,831,0.68582176,0.98941034,-0.30358858,3.86032396,4.09377825,-0.23345430,-0.23317572,-0.23966079,0.00648507,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,1.00,0.00,831,0.71204649,1.00750959,-0.29546310,3.97061586,4.14513826,-0.17452240,-0.22430179,-0.23572026,0.01141846,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,1.00,5.00,831,0.70272905,1.00109206,-0.29836301,3.93169758,4.12699732,-0.19529975,-0.22745074,-0.23711574,0.00966499,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,1.00,10.00,831,0.69346156,0.99469476,-0.30123319,3.89269584,4.10883712,-0.21614128,-0.23058705,-0.23850871,0.00792166,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,1.00,20.00,831,0.67507537,0.98196060,-0.30688523,3.81444996,4.07245964,-0.25800967,-0.23682194,-0.24128715,0.00446520,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,2.00,0.00,831,0.71204649,1.00750959,-0.29546310,3.97061586,4.14513826,-0.17452240,-0.22430179,-0.23572026,0.01141846,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,2.00,5.00,831,0.69888429,0.99843976,-0.29955547,3.91555254,4.11947744,-0.20392491,-0.22875138,-0.23769303,0.00894165,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,2.00,10.00,831,0.68582176,0.98941034,-0.30358858,3.86032396,4.09377825,-0.23345430,-0.23317572,-0.23966079,0.00648507,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,2.00,20.00,831,0.65999276,0.97147203,-0.31147926,3.74939361,4.04226675,-0.29287313,-0.24194924,-0.24358133,0.00163209,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,5.00,0.00,831,0.71204649,1.00750959,-0.29546310,3.97061586,4.14513826,-0.17452240,-0.22430179,-0.23572026,0.01141846,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,5.00,5.00,831,0.69128106,0.99318750,-0.30190644,3.88347682,4.10454728,-0.22107047,-0.23132560,-0.23883718,0.00751158,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,5.00,10.00,831,0.67076374,0.97896619,-0.30820245,3.79593282,4.06386110,-0.26792828,-0.23828650,-0.24194159,0.00365510,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,5.00,20.00,831,0.63046177,0.95082310,-0.32036133,3.61972014,3.98221106,-0.36249092,-0.25202182,-0.24811309,-0.00390873,False,False,False
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,10.00,0.00,831,0.71204649,1.00750959,-0.29546310,3.97061586,4.14513826,-0.17452240,-0.22430179,-0.23572026,0.01141846,False,False,True
case_lingxi_context_router,Conservative context router,cn_a_share,10,industry_size_neutral,10.00,10.00,5.00,831,0.68275258,0.98728466,-0.30453208,3.84726276,4.08770595,-0.24044319,-0.23421650,-0.24012458,0.00590809,False,False,True
