date,schema_version,source,lag_days,trend_tag,volatility_tag,drawdown_tag,breadth_tag,dispersion_tag,llm_style_summary
2023-01-03,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,calm,broad,normal,balanced
2023-01-04,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,calm,broad,normal,balanced
2023-01-05,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,calm,broad,normal,balanced
2023-01-06,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,calm,broad,normal,balanced
2023-01-09,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,calm,broad,normal,balanced
2023-01-10,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,calm,broad,normal,balanced
2023-01-11,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,high,calm,broad,high,selective_alpha
2023-01-12,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-01-13,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,high,calm,broad,high,selective_alpha
2023-01-16,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-01-17,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-01-18,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-01-19,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-01-20,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-01-26,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-01-27,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-01-30,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-01-31,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-02-01,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-02-02,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-02-03,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-02-06,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-02-07,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,watch,broad,high,risk_on_trend
2023-02-08,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-02-09,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,high,risk_on_trend
2023-02-10,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,watch,broad,high,risk_on_trend
2023-02-13,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,stress,broad,high,risk_on_trend
2023-02-14,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,watch,broad,normal,risk_on_trend
2023-02-15,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,watch,broad,normal,risk_on_trend
2023-02-16,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,watch,broad,normal,risk_on_trend
2023-02-17,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,stress,broad,normal,risk_on_trend
2023-02-20,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,stress,broad,normal,risk_on_trend
2023-02-21,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,stress,broad,normal,risk_on_trend
2023-02-22,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-02-23,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-02-24,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-02-27,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-02-28,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-03-01,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-03-02,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-03-03,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-03-06,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-03-07,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-03-08,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-03-09,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-03-10,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-03-13,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-03-14,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-03-15,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,high,selective_alpha
2023-03-16,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-03-17,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,high,selective_alpha
2023-03-20,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,weak,high,risk_off_stress
2023-03-21,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,weak,high,risk_off_stress
2023-03-22,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,weak,high,risk_off_stress
2023-03-23,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,weak,high,risk_off_stress
2023-03-24,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,weak,high,risk_off_stress
2023-03-27,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,weak,high,risk_off_stress
2023-03-28,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,weak,high,risk_off_stress
2023-03-29,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,broad,high,risk_off_stress
2023-03-30,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,broad,high,risk_off_stress
2023-03-31,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,broad,high,risk_off_stress
