date,symbol,score,label
2025-01-02,sh600000,0.0043173714,0.0059230000
2025-01-03,sh600000,0.0053040938,0.0069582837
2025-01-06,sh600000,0.0061006446,-0.0147783231
2025-01-07,sh600000,0.0035411465,-0.0107107733
2025-01-08,sh600000,0.0003484654,-0.0087378629
2025-01-09,sh600000,-0.0030906818,0.0019626745
2025-01-10,sh600000,-0.0049562847,0.0138202994
2025-01-13,sh600000,-0.0047023429,0.0370000293
2025-01-14,sh600000,-0.0019353015,0.0206692878
2025-01-15,sh600000,0.0013144932,-0.0176297724
2025-01-16,sh600000,0.0026780865,0.0097943516
2025-01-17,sh600000,0.0032015631,0.0116845165
2025-01-20,sh600000,0.0035706442,0.0270008936
2025-01-21,sh600000,0.0028682957,0.0038572137
2025-01-22,sh600000,0.0029174514,0.0398803877
2025-01-23,sh600000,0.0042737747,0.0029097958
2025-01-24,sh600000,0.0067502373,-0.0115495654
2025-01-27,sh600000,0.0079923379,-0.0328638143
2025-02-05,sh600000,0.0069239859,0.0000000000
2025-02-06,sh600000,0.0075262506,-0.0115052714
2025-02-07,sh600000,0.0049849954,0.0067697584
2025-02-10,sh600000,0.0060056653,0.0000000000
2025-02-11,sh600000,0.0040036405,0.0194174398
2025-02-12,sh600000,0.0053294188,0.0028818441
2025-02-13,sh600000,0.0041153498,0.0077594222
2025-02-14,sh600000,0.0056602945,-0.0115273764
2025-02-17,sh600000,0.0054937923,-0.0058422582
2025-02-18,sh600000,0.0057534933,-0.0380951689
2025-02-19,sh600000,0.0029201956,-0.0249041792
2025-02-20,sh600000,0.0038610980,-0.0144369567
2025-02-21,sh600000,0.0028790271,-0.0116618064
2025-02-24,sh600000,0.0033829131,-0.0058765908
2025-02-25,sh600000,0.0023555176,0.0000000000
2025-02-26,sh600000,0.0036775590,0.0068762607
2025-02-27,sh600000,0.0003619987,-0.0107421525
2025-02-28,sh600000,0.0003459831,-0.0029498522
2025-03-03,sh600000,-0.0025552356,-0.0049260739
2025-03-04,sh600000,-0.0029517653,0.0019801637
2025-03-05,sh600000,-0.0039993249,-0.0126829582
2025-03-06,sh600000,-0.0046496819,0.0088845000
2025-03-07,sh600000,-0.0040266847,0.0276134433
2025-03-10,sh600000,-0.0037470597,0.0495049081
2025-03-11,sh600000,-0.0024038677,0.0513834262
2025-03-12,sh600000,-0.0012956447,0.0523715005
2025-03-13,sh600000,-0.0008896003,0.0430527967
2025-03-14,sh600000,-0.0009976137,0.0047984309
2025-03-17,sh600000,-0.0007242756,0.0009434285
2025-03-18,sh600000,-0.0007994448,-0.0028195484
2025-03-19,sh600000,0.0003198164,-0.0169014068
2025-03-20,sh600000,0.0010519943,-0.0103189158
2025-03-21,sh600000,0.0033215218,-0.0028653292
2025-03-24,sh600000,0.0052103484,-0.0169651245
2025-03-25,sh600000,0.0057420613,-0.0245052446
2025-03-26,sh600000,0.0064721989,-0.0009550441
2025-03-27,sh600000,0.0061182614,-0.0066351026
2025-03-28,sh600000,0.0059034225,-0.0756704248
2025-03-31,sh600000,0.0051436773,-0.0220518360
2025-04-01,sh600000,0.0039553221,-0.0328501719
2025-04-02,sh600000,0.0040273758,-0.0439770811
2025-04-03,sh600000,0.0033963527,-0.0391220995
2025-04-07,sh600000,0.0047122479,0.0549222344
2025-04-08,sh600000,0.0074626830,0.0264705856
2025-04-09,sh600000,0.0074571059,0.0589410145
2025-04-10,sh600000,0.0083631022,0.0749999897
2025-04-11,sh600000,0.0022598941,0.0734855542
2025-04-14,sh600000,0.0022631930,0.0383104074
2025-04-15,sh600000,-0.0027911652,0.0229226338
2025-04-16,sh600000,-0.0044466092,0.0066038051
2025-04-17,sh600000,-0.0063822144,-0.0009302644
2025-04-18,sh600000,-0.0030424227,-0.0203515555
2025-04-21,sh600000,-0.0029100846,0.0160832199
2025-04-22,sh600000,-0.0000484902,0.0112044807
2025-04-23,sh600000,0.0028399351,0.0271789700
2025-04-24,sh600000,0.0034825788,0.0400372721
2025-04-25,sh600000,0.0007772934,0.0736543838
2025-04-28,sh600000,0.0025439428,0.0828678400
2025-04-29,sh600000,0.0053582646,0.0895660435
2025-04-30,sh600000,0.0078739122,0.0684306484
2025-05-06,sh600000,0.0101343686,0.0814682392
2025-05-07,sh600000,0.0198894740,0.0686015769
2025-05-08,sh600000,0.0213370855,0.0567497767
2025-05-09,sh600000,0.0254971116,0.0254237259
2025-05-12,sh600000,0.0290608939,0.0247651258
2025-05-13,sh600000,0.0314807023,0.0157284177
2025-05-14,sh600000,0.0314961600,0.0098765424
2025-05-15,sh600000,0.0330810481,0.0113913456
2025-05-16,sh600000,0.0332144558,0.0107438288
2025-05-19,sh600000,0.0340798905,0.0041667235
2025-05-20,sh600000,0.0320757335,-0.0065199389
2025-05-21,sh600000,0.0338037861,-0.0040749513
2025-05-22,sh600000,0.0320416910,-0.0209171060
2025-05-23,sh600000,0.0310269136,0.0081765576
2025-05-26,sh600000,0.0314458716,0.0406639231
2025-05-27,sh600000,0.0342667846,0.0155865728
2025-05-28,sh600000,0.0344489998,0.0081833332
2025-05-29,sh600000,0.0343445666,0.0123253886
2025-05-30,sh600000,0.0332352888,-0.0016220320
2025-06-03,sh600000,0.0313936837,-0.0143540646
2025-06-04,sh600000,0.0293198279,-0.0024232630
2025-06-05,sh600000,0.0271517621,0.0113636069
2025-06-06,sh600000,0.0239220665,0.0016233485
2025-06-09,sh600000,0.0233018004,0.0219333850
2025-06-10,sh600000,0.0210079707,0.0145631044
2025-06-11,sh600000,0.0194507770,0.0348178367
2025-06-12,sh600000,0.0166343556,0.0224719352
2025-06-13,sh600000,0.0150331020,0.0551053980
2025-06-16,sh600000,0.0146303039,0.0580286378
2025-06-17,sh600000,0.0128635717,0.0614034713
2025-06-18,sh600000,0.0142134622,0.0532081023
2025-06-19,sh600000,0.0133122231,0.0690738010
2025-06-20,sh600000,0.0163082293,0.0407065724
2025-06-23,sh600000,0.0166240309,0.0428249381
2025-06-24,sh600000,0.0188917687,0.0653643792
2025-06-25,sh600000,0.0202628525,0.0549776792
2025-06-26,sh600000,0.0215868778,0.0411159744
2025-06-27,sh600000,0.0237573286,0.0760147759
2025-06-30,sh600000,0.0264418306,0.0518731924
2025-07-01,sh600000,0.0266799270,0.0035260684
2025-07-02,sh600000,0.0268098136,-0.0021126759
2025-07-03,sh600000,0.0269240033,0.0014104128
2025-07-04,sh600000,0.0284844160,-0.0534979348
2025-07-07,sh600000,0.0269836074,-0.0335616634
2025-07-08,sh600000,0.0291385120,-0.0210822186
2025-07-09,sh600000,0.0307592830,-0.0198452970
2025-07-10,sh600000,0.0333550609,-0.0248183724
2025-07-11,sh600000,0.0341527302,0.0049409347
2025-07-14,sh600000,0.0344635821,-0.0156773823
2025-07-15,sh600000,0.0316757141,-0.0214493423
2025-07-16,sh600000,0.0283327384,-0.0111275964
2025-07-17,sh600000,0.0222467217,-0.0282738095
2025-07-18,sh600000,0.0195203692,-0.0289747400
2025-07-21,sh600000,0.0163022727,-0.0296735905
2025-07-22,sh600000,0.0138917111,-0.0332577475
2025-07-23,sh600000,0.0132555124,-0.0337584396
2025-07-24,sh600000,0.0137089782,-0.0191424196
2025-07-25,sh600000,0.0108565775,-0.0114766641
2025-07-28,sh600000,0.0062252739,0.0038226300
2025-07-29,sh600000,0.0038720165,0.0750586396
2025-07-30,sh600000,-0.0000699088,0.0706521739
2025-07-31,sh600000,-0.0026944493,0.0874316940
2025-08-01,sh600000,-0.0037414701,0.0967492260
2025-08-04,sh600000,-0.0019326622,0.0647372430
2025-08-05,sh600000,-0.0026229662,0.0101818182
2025-08-06,sh600000,-0.0025122826,0.0029006526
2025-08-07,sh600000,0.0003629915,-0.0043072505
2025-08-08,sh600000,-0.0022244644,-0.0409315455
2025-08-11,sh600000,0.0000703118,-0.0243204578
2025-08-12,sh600000,0.0019534708,-0.0143988481
2025-08-13,sh600000,0.0034578801,-0.0079537238
2025-08-14,sh600000,0.0043623674,-0.0064888248
2025-08-15,sh600000,0.0059537776,0.0257542311
2025-08-18,sh600000,0.0064662470,0.0285923754
2025-08-19,sh600000,0.0044892741,0.0248356465
2025-08-20,sh600000,0.0058615367,0.0021865889
2025-08-21,sh600000,0.0045947644,0.0058055152
2025-08-22,sh600000,0.0057618894,-0.0222381636
2025-08-25,sh600000,0.0080048529,-0.0384889522
2025-08-26,sh600000,0.0100257815,-0.0213827512
2025-08-27,sh600000,0.0126937984,0.0021818182
2025-08-28,sh600000,0.0145875613,-0.0064935065
2025-08-29,sh600000,0.0158661225,0.0044020543
2025-09-01,sh600000,0.0158962226,0.0066716086
2025-09-02,sh600000,0.0131574453,0.0211216315
2025-09-03,sh600000,0.0099498790,0.0137880987
2025-09-04,sh600000,0.0050415284,0.0254175744
2025-09-05,sh600000,0.0029924149,-0.0065741417
2025-09-08,sh600000,0.0018734383,-0.0110456554
2025-09-09,sh600000,0.0012109679,-0.0613409415
2025-09-10,sh600000,0.0003691365,-0.0722977810
2025-09-11,sh600000,0.0020902979,-0.0970254958
2025-09-12,sh600000,-0.0003255773,-0.0580882353
2025-09-15,sh600000,0.0001864630,-0.0662695458
2025-09-16,sh600000,-0.0024515559,-0.0539513678
2025-09-17,sh600000,-0.0037766827,-0.0570987654
2025-09-18,sh600000,-0.0084561098,-0.0250980392
2025-09-19,sh600000,-0.0096534364,-0.0437158470
2025-09-22,sh600000,-0.0148270585,-0.0382775120
2025-09-23,sh600000,-0.0157908929,-0.0441767068
2025-09-24,sh600000,-0.0206123892,-0.0343698854
2025-09-25,sh600000,-0.0197649401,-0.0474658085
2025-09-26,sh600000,-0.0229829573,0.0212244898
2025-09-29,sh600000,-0.0220225766,0.0588723051
2025-09-30,sh600000,-0.0216449811,0.1067226891
2025-10-09,sh600000,-0.0201397271,0.1288135593
2025-10-10,sh600000,-0.0216108839,0.1250000000
2025-10-13,sh600000,-0.0203283997,0.0383693046
2025-10-14,sh600000,-0.0227402398,0.0172278778
2025-10-15,sh600000,-0.0233049263,-0.0106302202
2025-10-16,sh600000,-0.0258453289,-0.0262762763
2025-10-17,sh600000,-0.0232923730,-0.0255255255
2025-10-20,sh600000,-0.0192948003,-0.0015396459
2025-10-21,sh600000,-0.0145579047,-0.0461893764
2025-10-22,sh600000,-0.0113886953,-0.0936300844
2025-10-23,sh600000,-0.0056722141,-0.1025443331
2025-10-24,sh600000,-0.0054988681,-0.1147919877
2025-10-27,sh600000,-0.0079642462,-0.1202775636
2025-10-28,sh600000,-0.0090112440,-0.0621468927
2025-10-29,sh600000,-0.0077310012,0.0042337003
2025-10-30,sh600000,-0.0096549669,0.0017182131
2025-10-31,sh600000,-0.0058360934,0.0182767624
2025-11-03,sh600000,-0.0039316117,0.0245398773
2025-11-04,sh600000,-0.0031888441,0.0043029260
2025-11-05,sh600000,-0.0057472193,-0.0151770658
2025-11-06,sh600000,-0.0078284819,0.0000000000
2025-11-07,sh600000,-0.0129101717,-0.0068376068
2025-11-10,sh600000,-0.0169589455,-0.0273738238
2025-11-11,sh600000,-0.0174503357,-0.0188517566
2025-11-12,sh600000,-0.0173506699,-0.0102739726
2025-11-13,sh600000,-0.0180002917,0.0034305317
2025-11-14,sh600000,-0.0178253773,-0.0086058520
2025-11-17,sh600000,-0.0180241195,0.0140721196
2025-11-18,sh600000,-0.0227484739,0.0139737991
2025-11-19,sh600000,-0.0240045784,-0.0069204152
2025-11-20,sh600000,-0.0249744318,-0.0068376068
2025-11-21,sh600000,-0.0258875549,-0.0034722222
2025-11-24,sh600000,-0.0217409985,0.0008673027
2025-11-25,sh600000,-0.0188272499,-0.0137812231
2025-11-26,sh600000,-0.0151167275,-0.0156794425
2025-11-27,sh600000,-0.0121617727,-0.0318416523
2025-11-28,sh600000,-0.0102406463,-0.0191637631
2025-12-01,sh600000,-0.0094173822,-0.0129982669
2025-12-02,sh600000,-0.0100603062,-0.0113537118
2025-12-03,sh600000,-0.0087488570,-0.0017699115
2025-12-04,sh600000,-0.0090598904,0.0168888889
2025-12-05,sh600000,-0.0087962288,0.0310834813
2025-12-08,sh600000,-0.0081732035,0.0237050044
2025-12-09,sh600000,-0.0062181424,0.0203180212
2025-12-10,sh600000,-0.0054887206,0.0230496454
2025-12-11,sh600000,-0.0053039608,0.0297202797
2025-12-12,sh600000,-0.0029488231,0.0068906115
2025-12-15,sh600000,-0.0006424291,-0.0017152659
2025-12-16,sh600000,0.0000673202,0.0242424242
2025-12-17,sh600000,-0.0002378590,0.0233968804
2025-12-18,sh600000,0.0010249091,-0.0008488964
2025-12-19,sh600000,0.0012809191,0.0025662960
2025-12-22,sh600000,-0.0003897274,0.0455326460
2025-12-23,sh600000,-0.0003639175,0.0473372781
2025-12-24,sh600000,0.0002300164,0.0533446232
2025-12-25,sh600000,0.0023982992,0.0042480884
2025-12-26,sh600000,0.0029132626,0.0238907850
2025-12-29,sh600000,0.0041383828,-0.0312243221
2025-12-30,sh600000,0.0058031518,-0.0686037127
2025-12-31,sh600000,0.0070480083,-0.0723472669
2025-01-02,sh600009,0.0083089898,-0.0192134601
2025-01-03,sh600009,0.0051488535,-0.0220543964
2025-01-06,sh600009,0.0019735789,-0.0211480299
2025-01-07,sh600009,-0.0016785123,0.0060587639
2025-01-08,sh600009,-0.0057561043,0.0139902688
2025-01-09,sh600009,-0.0080114221,0.0162228257
2025-01-10,sh600009,-0.0092087225,0.0256410232
2025-01-13,sh600009,-0.0085948854,0.0212962821
2025-01-14,sh600009,-0.0066212928,-0.0003011215
2025-01-15,sh600009,-0.0052378621,-0.0002999473
2025-01-16,sh600009,-0.0032549741,0.0015060302
2025-01-17,sh600009,-0.0023220359,0.0042168785
2025-01-20,sh600009,-0.0013104735,0.0021154329
2025-01-21,sh600009,-0.0011079280,-0.0057228781
2025-01-22,sh600009,-0.0022228706,-0.0063006313
2025-01-23,sh600009,-0.0014096827,0.0015037655
2025-01-24,sh600009,-0.0006465913,0.0041991711
2025-01-27,sh600009,-0.0000781872,-0.0039203897
