date,symbol,score,label
2025-04-07,sh600000,0.5674320977,0.0549222344
2025-04-07,sh600009,0.2664536225,0.0649054398
2025-04-07,sh600010,0.0468693662,0.0727272727
2025-04-07,sh600011,0.7709348555,0.0220911926
2025-04-07,sh600015,1.2249038714,0.0337381030
2025-04-07,sh600016,-0.0641383243,0.0394736697
2025-04-07,sh600018,0.6749443740,0.0128440343
2025-04-07,sh600019,0.0922265985,0.0179372911
2025-04-07,sh600023,0.7245583893,0.0180180405
2025-04-07,sh600025,1.0649392854,0.0242557068
2025-04-07,sh600026,-0.3358038448,0.0323558643
2025-04-07,sh600027,0.5905336692,0.0491493425
2025-04-07,sh600028,0.3316094811,0.0427510540
2025-04-07,sh600030,-0.4321575360,0.0503746878
2025-04-07,sh600031,0.0556890247,0.0494444473
2025-04-07,sh600036,-0.6606987469,0.0159196639
2025-04-07,sh600039,1.9088292456,0.0179640305
2025-04-07,sh600048,0.2186967762,0.0933165303
2025-04-07,sh600050,-0.9623459970,0.0423076053
2025-04-07,sh600061,-0.0313489689,0.0638629649
2025-04-07,sh600066,0.3836997000,0.0828952447
2025-04-07,sh600085,0.3844112452,0.0434032909
2025-04-07,sh600089,0.0146203466,0.0341419141
2025-04-07,sh600104,-0.5752458645,0.1135057281
2025-04-07,sh600111,0.5338784031,0.0707070703
2025-04-07,sh600150,-0.5475955597,0.0666178671
2025-04-07,sh600160,0.0111683227,0.0860071214
2025-04-07,sh600161,1.2586855688,0.0040871922
2025-04-07,sh600176,1.0783948428,0.0041771550
2025-04-07,sh600183,-1.2744281543,-0.0228522747
2025-04-07,sh600188,0.1506054205,0.0686517885
2025-04-07,sh600196,0.2299787511,0.0323275882
2025-04-07,sh600219,-0.2644824528,0.0450450937
2025-04-07,sh600233,-0.6503584654,0.0632090438
2025-04-07,sh600276,1.5042796934,0.0034907648
2025-04-07,sh600309,-0.5221499787,0.0047321282
2025-04-07,sh600332,0.1025744777,0.0384310733
2025-04-07,sh600346,0.0214271754,0.0155405611
2025-04-07,sh600362,0.4564207523,0.0581799647
2025-04-07,sh600372,-0.2044427715,0.0786627714
2025-04-07,sh600377,0.5876423309,0.0013037434
2025-04-07,sh600406,0.0145767985,0.0709057752
2025-04-07,sh600415,1.6245501883,0.1194255127
2025-04-07,sh600426,0.8934777103,0.0204578638
2025-04-07,sh600436,0.4815100078,0.0245601704
2025-04-07,sh600438,-1.2593397662,0.0381861575
2025-04-07,sh600482,-0.2482539740,0.0488798357
2025-04-07,sh600489,1.3098293588,0.1775999813
2025-04-07,sh600515,-0.0574770539,0.1428571429
2025-04-07,sh600519,1.7198088811,0.0346599999
2025-04-07,sh600522,-0.3804664059,0.0706436602
2025-04-07,sh600547,1.5687284651,0.2184542298
2025-04-07,sh600570,-1.2355725792,0.0512096865
2025-04-07,sh600584,-0.9750674871,0.0782411839
2025-04-07,sh600585,0.8040396019,0.0642705839
2025-04-07,sh600600,1.5629716258,-0.0008952505
2025-04-07,sh600660,0.3392260481,0.0081967083
2025-04-07,sh600674,1.2868330911,0.0078360808
2025-04-07,sh600690,0.4358455896,0.0504665132
2025-04-07,sh600741,0.2597996995,-0.0041815500
2025-04-07,sh600760,0.0008715449,0.0846265727
2025-04-07,sh600795,1.2400347517,0.0528737158
2025-04-07,sh600803,0.3311246136,0.0072313996
2025-04-07,sh600809,1.2722519170,-0.0036951513
2025-04-07,sh600845,-1.2115788385,0.0487711307
2025-04-07,sh600875,0.4080867943,0.0852273131
2025-04-07,sh600886,0.5330978474,0.0215427035
2025-04-07,sh600887,0.7539279601,0.0623414132
2025-04-07,sh600893,0.0878815211,0.0845425916
2025-04-07,sh600900,0.9709469464,0.0289445589
2025-04-07,sh600905,0.6246066494,0.0311749653
2025-04-07,sh600918,0.1474346463,0.0550773605
2025-04-07,sh600919,0.6690430829,0.0085929757
2025-04-07,sh600926,0.2930037693,0.0294964377
2025-04-07,sh600938,0.1366247817,0.0632802479
2025-04-07,sh600941,-0.1718988273,0.0179806353
2025-04-07,sh600958,-0.1616262544,0.0685579961
2025-04-07,sh600989,-0.5644115662,0.0699301367
2025-04-07,sh600999,-0.0024153254,0.0329934203
2025-04-07,sh601006,0.2823900655,0.0200926746
2025-04-07,sh601009,0.6034819706,0.0127952840
2025-04-07,sh601012,-0.5037276551,0.0507757405
2025-04-07,sh601018,0.6887086046,0.0697674778
2025-04-07,sh601021,0.2498087362,0.0776876319
2025-04-07,sh601058,-0.4729926669,0.0288065953
2025-04-07,sh601059,-0.3127987964,0.0439944160
2025-04-07,sh601066,0.1798031380,0.0140845235
2025-04-07,sh601077,0.9589258298,0.0815971360
2025-04-07,sh601088,1.3698966579,0.0337439546
2025-04-07,sh601100,-0.7773160937,0.0310602829
2025-04-07,sh601117,0.2271885557,0.0547337541
2025-04-07,sh601127,0.0586490213,0.1859402463
2025-04-07,sh601136,-0.2390764630,0.0455958898
2025-04-07,sh601138,-1.2212886051,0.0448979643
2025-04-07,sh601166,0.4362294735,0.0332836833
2025-04-07,sh601169,0.8850368548,0.0271185247
2025-04-07,sh601186,-0.0806465995,0.0499999046
2025-04-07,sh601211,0.5877228955,0.0809585232
2025-04-07,sh601225,0.6607162799,0.0457172930
2025-04-07,sh601229,1.0624719572,-0.0050100555
2025-04-07,sh601236,-0.1671115584,0.0464789630
2025-04-07,sh601238,-0.4434476405,0.0841121057
2025-04-07,sh601288,1.3501116222,0.0298210811
2025-04-07,sh601298,1.7396501691,-0.0066518558
2025-04-07,sh601318,0.4794374535,0.0189456404
2025-04-07,sh601319,0.6239341553,0.0494590508
2025-04-07,sh601328,1.0337517162,0.0370371223
2025-04-07,sh601336,0.9202995566,0.0160574812
2025-04-07,sh601377,-0.0316828449,0.0587156751
2025-04-07,sh601390,-0.0221096399,0.0561797797
2025-04-07,sh601398,1.3182740882,0.0162721882
2025-04-07,sh601456,-0.9731467801,0.0592672710
2025-04-07,sh601600,-0.2481400038,0.0201549277
2025-04-07,sh601601,0.6324309419,0.0402200190
2025-04-07,sh601607,0.0462186190,0.0460673804
2025-04-07,sh601618,-0.0458537224,0.0537636059
2025-04-07,sh601628,-0.1316974162,0.0301464208
2025-04-07,sh601633,0.1486022752,0.0475133091
2025-04-07,sh601658,0.3156438410,0.0138068239
2025-04-07,sh601668,0.2400347121,0.0492127148
2025-04-07,sh601669,0.0085623108,0.0462555141
2025-04-07,sh601688,-0.4209520084,0.0535956628
2025-04-07,sh601689,-1.8568978582,-0.0368989376
2025-04-07,sh601698,-0.8359921619,0.1196629016
2025-04-07,sh601699,0.0498946492,0.0565022191
2025-04-07,sh601728,-0.0879427822,0.0025412456
2025-04-07,sh601766,-0.3083368216,0.0909090017
2025-04-07,sh601788,-0.2288659497,0.0599226993
2025-04-07,sh601799,0.9624679033,0.0727257355
2025-04-07,sh601800,-0.0051463131,0.0760368258
2025-04-07,sh601808,-0.1392942130,0.0609176985
2025-04-07,sh601816,0.7623256491,0.0448832244
2025-04-07,sh601818,0.4708132226,0.0306407419
2025-04-07,sh601825,0.7965456595,0.0060024198
2025-04-07,sh601838,0.8329820599,0.0137724307
2025-04-07,sh601857,1.3948462121,0.0476838616
2025-04-07,sh601865,-1.7043963368,0.0031746259
2025-04-07,sh601868,0.0395218386,0.0506912894
2025-04-07,sh601872,0.2371814757,0.0309809671
2025-04-07,sh601877,-0.1572758044,0.0420406387
2025-04-07,sh601878,-0.2739772692,0.0360271738
2025-04-07,sh601881,0.1486762920,0.0716700173
2025-04-07,sh601888,0.3036720977,0.2016970274
2025-04-07,sh601898,0.1416132599,0.0575538834
2025-04-07,sh601899,0.7298255707,0.1440622859
2025-04-07,sh601901,-0.1774565652,0.0497159294
2025-04-07,sh601916,0.7594743899,0.0210527976
2025-04-07,sh601919,0.6239351568,0.1114600348
2025-04-07,sh601939,0.1312502770,0.0056306897
2025-04-07,sh601985,-0.3527190938,0.0300333662
2025-04-07,sh601988,1.3271394586,0.0073530861
2025-04-07,sh601995,-0.1057226253,0.0594748632
2025-04-07,sh601998,0.7586411568,0.0290275613
2025-04-07,sh603019,-1.0485865276,0.1026935996
2025-04-07,sh603195,-0.3108625321,0.0332450828
2025-04-07,sh603259,0.5949512939,-0.0710162519
2025-04-07,sh603260,0.3572045429,0.0716504943
2025-04-07,sh603288,0.4933738275,0.0725190932
2025-04-07,sh603296,-1.4873507298,0.0717266816
2025-04-07,sh603369,0.8143558347,-0.0265055473
2025-04-07,sh603392,-0.1157153809,0.0633491311
2025-04-07,sh603501,-0.7647069380,0.0806520456
2025-04-07,sh603799,-0.7902377735,0.0417920228
