date,n,ic,rankic,icir,rankicir,model,horizon,lookback
2023-01-03,306,0.12792265,0.11489361,,,factorvae,5,20
2023-01-04,306,-0.00159555,-0.04059981,,,factorvae,5,20
2023-01-05,306,0.06988544,0.03543275,,,factorvae,5,20
2023-01-06,306,0.08871996,0.10661297,,,factorvae,5,20
2023-01-09,306,0.01661204,-0.02490909,,,factorvae,5,20
2023-01-10,306,0.04950196,0.01286249,,,factorvae,5,20
2023-01-11,306,-0.04001138,-0.03119854,,,factorvae,5,20
2023-01-12,306,0.11872416,0.16207852,,,factorvae,5,20
2023-01-13,306,0.10079925,0.13152135,,,factorvae,5,20
2023-01-16,306,0.07062980,0.15766463,,,factorvae,5,20
2023-01-17,306,-0.11891990,-0.13677542,,,factorvae,5,20
2023-01-18,306,0.04580254,0.03851021,,,factorvae,5,20
2023-01-19,306,-0.10191479,-0.14499573,,,factorvae,5,20
2023-01-20,306,-0.01251858,-0.04182471,,,factorvae,5,20
2023-01-30,306,0.06194217,0.09913661,,,factorvae,5,20
2023-01-31,306,0.11315632,0.08996954,,,factorvae,5,20
2023-02-01,306,0.26650753,0.23193295,,,factorvae,5,20
2023-02-02,307,0.08356883,0.17350375,,,factorvae,5,20
2023-02-03,307,0.03218796,0.05793004,,,factorvae,5,20
2023-02-06,307,0.04069150,0.04384057,,,factorvae,5,20
2023-02-07,307,0.07517927,0.11945015,,,factorvae,5,20
2023-02-08,306,0.08102365,0.11658319,,,factorvae,5,20
2023-02-09,306,-0.00222580,-0.01202733,,,factorvae,5,20
2023-02-10,306,-0.11174405,-0.03810520,,,factorvae,5,20
2023-02-13,306,-0.13395278,-0.09691700,,,factorvae,5,20
2023-02-14,306,-0.14859287,-0.15453316,,,factorvae,5,20
2023-02-15,306,-0.10688551,-0.19550068,,,factorvae,5,20
2023-02-16,306,-0.06384777,-0.18142602,,,factorvae,5,20
2023-02-17,307,-0.01817939,-0.08725093,,,factorvae,5,20
2023-02-20,307,0.04020816,-0.01153088,,,factorvae,5,20
2023-02-21,307,-0.00189365,-0.07817162,,,factorvae,5,20
2023-02-22,307,-0.05062076,-0.08671812,,,factorvae,5,20
2023-02-23,307,-0.15502446,-0.14031118,,,factorvae,5,20
2023-02-24,307,-0.11878475,-0.15805635,,,factorvae,5,20
2023-02-27,307,-0.03207542,-0.07970295,,,factorvae,5,20
2023-02-28,307,-0.05735559,-0.08880411,,,factorvae,5,20
2023-03-01,307,0.12821420,0.07811452,,,factorvae,5,20
2023-03-02,307,-0.05260975,-0.01199041,,,factorvae,5,20
2023-03-03,307,0.00286215,0.12973700,,,factorvae,5,20
2023-03-06,307,-0.10460455,0.07831445,,,factorvae,5,20
