date,n,ic,rankic,icir,rankicir,model,horizon,lookback
2023-01-03,306,0.02578889,-0.05830772,,,master,1,20
2023-01-04,306,0.16760564,0.12856785,,,master,1,20
2023-01-05,306,-0.04645019,-0.02776787,,,master,1,20
2023-01-06,306,-0.03361065,0.04017800,,,master,1,20
2023-01-09,306,0.28511180,0.35864053,,,master,1,20
2023-01-10,306,-0.10608764,-0.14153168,,,master,1,20
2023-01-11,306,0.11068983,0.17715816,,,master,1,20
2023-01-12,306,0.12705353,0.09664000,,,master,1,20
2023-01-13,306,0.00625557,0.00819103,,,master,1,20
2023-01-16,306,0.20461803,0.27335796,,,master,1,20
2023-01-17,306,-0.12667957,-0.26984877,,,master,1,20
2023-01-18,306,0.21539480,0.19321624,,,master,1,20
2023-01-19,306,0.10622642,0.10821662,,,master,1,20
2023-01-20,306,0.06951790,0.08058838,,,master,1,20
2023-01-30,306,-0.17455051,-0.20441483,,,master,1,20
2023-01-31,306,0.10445555,0.09523735,,,master,1,20
2023-02-01,306,0.09766806,0.09960139,,,master,1,20
2023-02-02,307,0.10883325,0.11428338,,,master,1,20
2023-02-03,307,0.16252717,0.16730762,,,master,1,20
2023-02-06,307,-0.03465684,-0.11532598,,,master,1,20
2023-02-07,307,-0.01237849,0.00073180,,,master,1,20
2023-02-08,306,0.05293295,0.02232468,,,master,1,20
2023-02-09,306,-0.13566105,-0.24331519,,,master,1,20
2023-02-10,306,0.10799820,0.06157131,,,master,1,20
2023-02-13,306,-0.10793931,-0.16088169,,,master,1,20
2023-02-14,306,0.13000631,0.01304133,,,master,1,20
2023-02-15,306,-0.12138105,-0.18364093,,,master,1,20
2023-02-16,306,-0.21073071,-0.10804132,,,master,1,20
2023-02-17,307,0.01838815,-0.05656322,,,master,1,20
2023-02-20,307,0.07255666,0.03816215,,,master,1,20
2023-02-21,307,0.09031308,-0.05644241,,,master,1,20
2023-02-22,307,-0.13388416,-0.05854781,,,master,1,20
2023-02-23,307,0.01720111,0.00899355,,,master,1,20
2023-02-24,307,-0.01158323,-0.09181754,,,master,1,20
2023-02-27,307,-0.12039884,-0.11543462,,,master,1,20
2023-02-28,307,0.24280647,0.09654556,,,master,1,20
