date,n,ic,rankic,icir,rankicir,model,horizon,lookback
2023-01-03,304,-0.03835321,-0.06711392,,,tcts,1,20
2023-01-04,304,0.08787192,0.11632437,,,tcts,1,20
2023-01-05,304,-0.09966941,-0.02750414,,,tcts,1,20
2023-01-06,304,-0.04227884,-0.02144097,,,tcts,1,20
2023-01-09,304,0.25636652,0.27482267,,,tcts,1,20
2023-01-10,304,-0.22148331,-0.25292548,,,tcts,1,20
2023-01-11,304,0.00105241,0.02630620,,,tcts,1,20
2023-01-12,304,0.16231665,0.15584968,,,tcts,1,20
2023-01-13,304,0.14011927,0.21480814,,,tcts,1,20
2023-01-16,304,0.28926635,0.30364127,,,tcts,1,20
2023-01-17,304,-0.16383756,-0.19965165,,,tcts,1,20
2023-01-18,304,0.04901038,0.10394772,,,tcts,1,20
2023-01-19,304,-0.13515714,-0.05736202,,,tcts,1,20
2023-01-20,304,0.13230833,0.21026492,,,tcts,1,20
2023-01-30,304,-0.14250742,-0.16417882,,,tcts,1,20
2023-01-31,304,-0.01817789,-0.05581872,,,tcts,1,20
2023-02-01,304,0.10935639,0.12479252,,,tcts,1,20
2023-02-02,305,0.00811094,0.08033650,,,tcts,1,20
2023-02-03,305,0.08996107,0.05127411,,,tcts,1,20
2023-02-06,305,0.04287407,0.01811465,,,tcts,1,20
2023-02-07,305,0.04823184,-0.01171823,,,tcts,1,20
2023-02-08,304,0.13385494,0.05342204,,,tcts,1,20
2023-02-09,304,0.03149479,-0.02823318,,,tcts,1,20
2023-02-10,304,0.05972774,0.09417743,,,tcts,1,20
2023-02-13,304,-0.07705655,-0.09435402,,,tcts,1,20
2023-02-14,304,0.01868714,-0.00632548,,,tcts,1,20
2023-02-15,304,-0.08333135,-0.09929997,,,tcts,1,20
2023-02-16,304,-0.05380788,-0.05163287,,,tcts,1,20
2023-02-17,305,-0.17060099,-0.23312355,,,tcts,1,20
2023-02-20,305,-0.09674479,-0.13333546,,,tcts,1,20
2023-02-21,305,0.12816758,0.09606273,,,tcts,1,20
2023-02-22,305,-0.02473635,-0.01823942,,,tcts,1,20
2023-02-23,305,-0.03324066,-0.06487858,,,tcts,1,20
2023-02-24,305,0.05815273,0.04962930,,,tcts,1,20
2023-02-27,305,-0.10261759,-0.07564863,,,tcts,1,20
2023-02-28,305,-0.00244046,-0.08400953,,,tcts,1,20
2023-03-01,305,-0.08799115,-0.13158400,,,tcts,1,20
2023-03-02,305,-0.07784231,-0.12343239,,,tcts,1,20
2023-03-03,305,0.01351648,0.01204604,,,tcts,1,20
2023-03-06,305,-0.10498700,-0.09982875,,,tcts,1,20
2023-03-07,306,0.07697196,0.08749676,,,tcts,1,20
2023-03-08,306,0.00306361,0.12182939,,,tcts,1,20
2023-03-09,306,0.14139199,0.13126544,,,tcts,1,20
2023-03-10,306,-0.19608552,-0.14281566,,,tcts,1,20
2023-03-13,306,0.00812971,0.08962458,,,tcts,1,20
2023-03-14,307,-0.23299564,-0.26284110,,,tcts,1,20
2023-03-15,307,-0.02064488,-0.01848102,,,tcts,1,20
2023-03-16,307,-0.04464324,-0.13668078,,,tcts,1,20
2023-03-17,307,0.08433566,-0.03539560,,,tcts,1,20
2023-03-20,307,0.20004295,0.26011075,,,tcts,1,20
2023-03-21,307,-0.17890572,-0.28181990,,,tcts,1,20
2023-03-22,307,0.02634756,0.00162577,,,tcts,1,20
2023-03-23,307,0.11647961,0.15663518,,,tcts,1,20
2023-03-24,307,0.05456791,0.07961573,,,tcts,1,20
2023-03-27,307,-0.14572967,-0.14826037,,,tcts,1,20
2023-03-28,307,0.02593928,0.05083038,,,tcts,1,20
2023-03-29,307,0.08610322,0.09719558,,,tcts,1,20
2023-03-30,308,0.03241575,0.05475597,,,tcts,1,20
2023-03-31,309,0.12800682,0.11610542,,,tcts,1,20
2023-04-03,309,-0.15127907,-0.17190137,,,tcts,1,20
2023-04-04,309,0.20069885,0.19511756,,,tcts,1,20
2023-04-06,309,0.12986035,0.12243567,,,tcts,1,20
2023-04-07,309,-0.13099641,-0.09710749,,,tcts,1,20
2023-04-10,309,-0.12190413,-0.19978931,,,tcts,1,20
2023-04-11,309,-0.37187072,-0.35801551,,,tcts,1,20
2023-04-12,309,0.14880588,0.12730377,,,tcts,1,20
2023-04-13,309,-0.07106117,-0.06719692,,,tcts,1,20
2023-04-14,309,-0.07808205,-0.12896886,,,tcts,1,20
2023-04-17,309,0.12644596,0.00858498,,,tcts,1,20
2023-04-18,310,-0.01032642,-0.04069306,,,tcts,1,20
2023-04-19,310,-0.00166341,-0.07945523,,,tcts,1,20
2023-04-20,310,-0.13861039,-0.13029307,,,tcts,1,20
2023-04-21,309,-0.12519865,-0.10609805,,,tcts,1,20
2023-04-24,309,-0.04775921,-0.04568607,,,tcts,1,20
2023-04-25,309,0.12903370,0.07893959,,,tcts,1,20
2023-04-26,310,-0.02273998,-0.13272977,,,tcts,1,20
2023-04-27,309,-0.22749479,-0.21016567,,,tcts,1,20
2023-04-28,308,-0.17342439,-0.22630492,,,tcts,1,20
2023-05-04,307,0.05916623,0.08088047,,,tcts,1,20
2023-05-05,307,-0.28843775,-0.24337818,,,tcts,1,20
2023-05-08,307,0.05380095,0.03740663,,,tcts,1,20
2023-05-09,307,0.17799096,0.21611963,,,tcts,1,20
2023-05-10,307,0.06917059,0.04428152,,,tcts,1,20
2023-05-11,307,0.09042960,0.12626012,,,tcts,1,20
2023-05-12,307,0.15987951,0.15425598,,,tcts,1,20
2023-05-15,307,0.14714529,0.09082916,,,tcts,1,20
2023-05-16,307,-0.09242565,-0.08687925,,,tcts,1,20
2023-05-17,307,-0.08859758,-0.03570415,,,tcts,1,20
2023-05-18,307,0.17057726,0.19568485,,,tcts,1,20
2023-05-19,307,0.08864925,-0.02707325,,,tcts,1,20
2023-05-22,307,0.19146776,0.23316902,,,tcts,1,20
2023-05-23,307,0.26543521,0.33517396,,,tcts,1,20
2023-05-24,307,-0.01604573,0.01025006,,,tcts,1,20
2023-05-25,307,-0.14050596,-0.19615598,,,tcts,1,20
2023-05-26,307,0.00593045,0.03214286,,,tcts,1,20
2023-05-29,308,-0.09592288,-0.06414523,,,tcts,1,20
2023-05-30,308,0.08084561,0.09468549,,,tcts,1,20
2023-05-31,308,-0.00578710,0.03696459,,,tcts,1,20
2023-06-01,308,0.03206105,0.03560812,,,tcts,1,20
2023-06-02,308,-0.18934418,-0.15952445,,,tcts,1,20
2023-06-05,308,-0.05599789,-0.08892048,,,tcts,1,20
2023-06-06,308,-0.17346531,-0.20759708,,,tcts,1,20
2023-06-07,308,-0.06157500,-0.04139818,,,tcts,1,20
2023-06-08,308,0.01966224,0.06819582,,,tcts,1,20
2023-06-09,308,0.05529865,-0.00407428,,,tcts,1,20
2023-06-12,308,-0.04592935,-0.07292294,,,tcts,1,20
2023-06-13,308,0.15966827,0.01637399,,,tcts,1,20
2023-06-14,308,0.22828599,0.29857459,,,tcts,1,20
2023-06-15,307,-0.08363017,0.00728457,,,tcts,1,20
2023-06-16,306,0.01543304,0.01896722,,,tcts,1,20
2023-06-19,306,0.04561028,0.06391670,,,tcts,1,20
2023-06-20,306,-0.17790283,-0.16883819,,,tcts,1,20
2023-06-21,306,0.04596304,0.00035955,,,tcts,1,20
2023-06-26,307,-0.03134005,-0.06333876,,,tcts,1,20
2023-06-27,308,0.02295294,-0.02679623,,,tcts,1,20
2023-06-28,308,0.05597479,0.07751394,,,tcts,1,20
2023-06-29,308,0.04508376,0.09256540,,,tcts,1,20
2023-06-30,308,0.00633007,-0.01895995,,,tcts,1,20
2023-07-03,308,0.09596991,0.11228165,,,tcts,1,20
2023-07-04,308,-0.03516630,-0.06462792,,,tcts,1,20
2023-07-05,308,0.01551322,0.05384132,,,tcts,1,20
2023-07-06,308,0.10057958,0.12347861,,,tcts,1,20
2023-07-07,308,0.09953517,0.14883303,,,tcts,1,20
2023-07-10,308,-0.12397140,-0.15196756,,,tcts,1,20
2023-07-11,308,0.10354579,0.02869192,,,tcts,1,20
2023-07-12,308,0.01221572,-0.01542745,,,tcts,1,20
2023-07-13,308,-0.10163365,-0.08716155,,,tcts,1,20
2023-07-14,308,0.13040267,0.16079500,,,tcts,1,20
2023-07-17,309,-0.01733847,0.01234142,,,tcts,1,20
2023-07-18,309,-0.12344226,-0.23450737,,,tcts,1,20
2023-07-19,309,0.02086243,0.01469141,,,tcts,1,20
2023-07-20,309,0.22607678,0.23121454,,,tcts,1,20
2023-07-21,309,-0.13276271,-0.08667446,,,tcts,1,20
2023-07-24,309,-0.07169021,-0.11267028,,,tcts,1,20
2023-07-25,309,-0.01650928,-0.04501715,,,tcts,1,20
2023-07-26,309,-0.01210932,0.00142869,,,tcts,1,20
2023-07-27,309,-0.07300689,-0.10761202,,,tcts,1,20
2023-07-28,309,0.02334492,0.04300562,,,tcts,1,20
2023-07-31,309,0.00867435,-0.01017381,,,tcts,1,20
2023-08-01,309,0.27536888,0.26386695,,,tcts,1,20
2023-08-02,309,0.32603685,0.20090051,,,tcts,1,20
2023-08-03,309,-0.15825777,-0.22479510,,,tcts,1,20
2023-08-04,309,0.03785341,0.10629888,,,tcts,1,20
2023-08-07,309,-0.17921904,0.03783308,,,tcts,1,20
2023-08-08,309,-0.06589410,-0.10834282,,,tcts,1,20
2023-08-09,309,0.15898815,0.05822770,,,tcts,1,20
2023-08-10,309,-0.13568461,0.00318859,,,tcts,1,20
2023-08-11,309,0.00927284,-0.01556915,,,tcts,1,20
2023-08-14,309,-0.03879508,-0.22690815,,,tcts,1,20
2023-08-15,309,0.03297853,-0.03455478,,,tcts,1,20
2023-08-16,309,0.10166673,0.14117154,,,tcts,1,20
2023-08-17,309,-0.12038203,-0.10502663,,,tcts,1,20
2023-08-18,309,-0.01068503,-0.00792237,,,tcts,1,20
2023-08-21,309,-0.16170090,-0.18679709,,,tcts,1,20
2023-08-22,309,-0.02071931,-0.07904208,,,tcts,1,20
2023-08-23,309,0.06357056,0.15219570,,,tcts,1,20
2023-08-24,309,0.03561721,0.00203125,,,tcts,1,20
2023-08-25,309,-0.11348688,-0.15363437,,,tcts,1,20
2023-08-28,309,-0.03992937,-0.05657538,,,tcts,1,20
2023-08-29,309,-0.04215546,0.04101651,,,tcts,1,20
2023-08-30,309,-0.09271558,-0.10944844,,,tcts,1,20
2023-08-31,308,0.11605342,0.07422823,,,tcts,1,20
