date,chosen_adapter_weight,reason,lagged_proxy_ic,lagged_adapter_ic,market_ret_20,market_vol_20,history_days
2023-04-04,0.000000,cold_start,0.00000000,0.00000000,nan,nan,0
2023-04-06,0.000000,cold_start,0.00000000,0.00000000,0.00306500,0.00000000,0
2023-04-07,0.000000,cold_start,0.00000000,0.00000000,0.00074466,0.00232034,0
2023-04-10,0.000000,cold_start,0.00000000,0.00000000,0.00266406,0.00331022,0
2023-04-11,0.000000,cold_start,0.00000000,0.00000000,0.00087830,0.00421722,0
2023-04-12,0.000000,cold_start,0.00000000,0.00000000,0.00047540,0.00385711,0
2023-04-13,0.000000,cold_start,0.00000000,0.00000000,0.00027990,0.00354808,1
2023-04-14,0.000000,cold_start,0.00000000,0.00000000,-0.00074712,0.00413751,2
2023-04-17,0.000000,cold_start,0.00000000,0.00000000,0.00005346,0.00441198,3
2023-04-18,0.000000,cold_start,0.00000000,0.00000000,0.00160570,0.00604801,4
2023-04-19,0.000000,cold_start,0.00000000,0.00000000,0.00174996,0.00575395,5
2023-04-20,0.000000,cold_start,0.00000000,0.00000000,0.00077237,0.00629722,6
2023-04-21,0.000000,cold_start,0.00000000,0.00000000,0.00047485,0.00610934,7
2023-04-24,0.000000,cold_start,0.00000000,0.00000000,-0.00106632,0.00793444,8
2023-04-25,0.000000,cold_start,0.00000000,0.00000000,-0.00187446,0.00818222,9
2023-04-26,0.000000,cold_start,0.00000000,0.00000000,-0.00208389,0.00794352,10
2023-04-27,0.000000,cold_start,0.00000000,0.00000000,-0.00200780,0.00769693,11
2023-04-28,0.000000,cold_start,0.00000000,0.00000000,-0.00145607,0.00778642,12
2023-05-04,0.000000,cold_start,0.00000000,0.00000000,-0.00080871,0.00802399,13
2023-05-05,0.000000,cold_start,0.00000000,0.00000000,-0.00075098,0.00781381,14
2023-05-08,0.000000,cold_start,0.00000000,0.00000000,-0.00087930,0.00763647,15
2023-05-09,0.000000,cold_start,0.00000000,0.00000000,-0.00046264,0.00805612,16
2023-05-10,0.000000,cold_start,0.00000000,0.00000000,-0.00081199,0.00824606,17
2023-05-11,0.000000,cold_start,0.00000000,0.00000000,-0.00152202,0.00819688,18
2023-05-12,0.000000,cold_start,0.00000000,0.00000000,-0.00137571,0.00816886,19
