method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate
regime_gated_2025,raw,5,20,5.00,183,1.95459124,0.13296701,14.69982119,-0.07030889,1.19619418,1.02894871,9.80734639,0.13415301,0.71038251
regime_gated_2025,industry_size_neutral,5,20,5.00,183,1.71197061,0.11750867,14.56888771,-0.07480703,1.06370409,0.86119292,9.55334425,0.14453552,0.68852459
regime_gated_2025,raw,5,20,10.00,183,1.90525418,0.13302474,14.32255519,-0.07117392,1.16950126,0.99501979,9.47781206,0.13415301,0.71038251
regime_gated_2025,industry_size_neutral,5,20,10.00,183,1.66321619,0.11751204,14.15358147,-0.07552942,1.03669544,0.82767860,9.17764364,0.14453552,0.68306011
regime_gated_2025,raw,5,20,20.00,183,1.80902495,0.13314927,13.58644256,-0.07290180,1.11707773,0.92884570,8.83507750,0.13415301,0.69945355
regime_gated_2025,industry_size_neutral,5,20,20.00,183,1.56830810,0.11752830,13.34408891,-0.07697272,0.98372670,0.76244066,8.44588693,0.14453552,0.67759563
regime_gated_2025,raw,5,30,5.00,183,1.64428735,0.11745357,13.99946657,-0.06326863,1.02617297,0.81498995,9.25004886,0.12040073,0.72677596
regime_gated_2025,industry_size_neutral,5,30,5.00,183,1.36085867,0.10081261,13.49889358,-0.06189698,0.86603538,0.61938395,8.65950894,0.13060109,0.73224044
regime_gated_2025,raw,5,30,10.00,183,1.60462073,0.11746773,13.66009836,-0.06374125,1.00405525,0.78771840,8.93534668,0.12040073,0.72131148
regime_gated_2025,industry_size_neutral,5,30,10.00,183,1.32244125,0.10087168,13.11013350,-0.06246372,0.84393489,0.59299422,8.28172362,0.13060109,0.72677596
regime_gated_2025,raw,5,30,20.00,183,1.52705490,0.11750250,12.99593556,-0.06468587,0.96053655,0.73439243,8.32002146,0.12040073,0.71038251
regime_gated_2025,industry_size_neutral,5,30,20.00,183,1.24746298,0.10099643,12.35155463,-0.06360234,0.80051099,0.54149191,7.54539579,0.13060109,0.71584699
regime_gated_2025,raw,5,50,5.00,183,1.26608824,0.09871553,12.82562339,-0.06053209,0.81133443,0.55454987,8.40563140,0.10786885,0.72677596
regime_gated_2025,industry_size_neutral,5,50,5.00,183,1.11616899,0.07962257,14.01824943,-0.05316145,0.72350108,0.45083748,10.21730770,0.11693989,0.74316940
regime_gated_2025,raw,5,50,10.00,183,1.23559176,0.09872719,12.51521260,-0.06088240,0.79359963,0.53359515,8.08217553,0.10786885,0.72131148
regime_gated_2025,industry_size_neutral,5,50,10.00,183,1.08530517,0.07963358,13.62873764,-0.05377052,0.70521027,0.42964479,9.72810557,0.11693989,0.73224044
regime_gated_2025,raw,5,50,20.00,183,1.17581862,0.09875581,11.90632365,-0.06158267,0.75864581,0.49252523,7.44847694,0.10786885,0.71584699
regime_gated_2025,industry_size_neutral,5,50,20.00,183,1.02491514,0.07966218,12.86576841,-0.05498760,0.66920516,0.38817929,8.77084914,0.11693989,0.73224044
