method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate
regime_gated_2026_ytd,raw,5,20,5.00,44,8.81273978,0.16352425,53.89255604,-0.02303302,0.48994327,9.37825618,67.88017552,0.13636364,0.88636364
regime_gated_2026_ytd,industry_size_neutral,5,20,5.00,44,3.11920776,0.12558696,24.83703616,-0.03411462,0.28040813,3.35645618,36.17762876,0.19204545,0.68181818
regime_gated_2026_ytd,raw,5,20,10.00,44,8.64689137,0.16363436,52.84276138,-0.02359656,0.48551542,9.20277761,66.50820226,0.13636364,0.88636364
regime_gated_2026_ytd,industry_size_neutral,5,20,10.00,44,3.02126472,0.12559002,24.05656652,-0.03510760,0.27503950,3.25285468,35.01932676,0.19204545,0.68181818
regime_gated_2026_ytd,raw,5,20,20.00,44,8.32351187,0.16386240,50.79574060,-0.02472280,0.47669792,8.86062432,63.83631351,0.13636364,0.88636364
regime_gated_2026_ytd,industry_size_neutral,5,20,20.00,44,2.83227276,0.12561820,22.54667475,-0.03709086,0.26436755,3.05294525,32.77895833,0.19204545,0.68181818
regime_gated_2026_ytd,raw,5,30,5.00,44,5.73333991,0.15720588,36.47026414,-0.04278164,0.39512038,6.12218862,46.92256734,0.10303030,0.77272727
regime_gated_2026_ytd,industry_size_neutral,5,30,5.00,44,1.90110839,0.09997040,19.01671293,-0.02863947,0.20438444,2.06612923,31.28001294,0.17424242,0.68181818
regime_gated_2026_ytd,raw,5,30,10.00,44,5.64706112,0.15728107,35.90426480,-0.04321478,0.39198243,6.03090560,46.17411779,0.10303030,0.77272727
regime_gated_2026_ytd,industry_size_neutral,5,30,10.00,44,1.83838060,0.09992998,18.39668750,-0.02936998,0.19979644,1.99981602,30.22915125,0.17424242,0.68181818
regime_gated_2026_ytd,raw,5,30,20.00,44,5.47778581,0.15743860,34.79315529,-0.04408057,0.38572693,5.85181302,44.70565431,0.10303030,0.77272727
regime_gated_2026_ytd,industry_size_neutral,5,30,20.00,44,1.71694324,0.09987106,17.19159885,-0.03082957,0.19067119,1.87143856,28.18735807,0.17424242,0.65909091
regime_gated_2026_ytd,raw,5,50,5.00,44,2.21812419,0.11471030,19.33674821,-0.04482755,0.22639130,2.40159488,28.21442502,0.09136364,0.77272727
regime_gated_2026_ytd,industry_size_neutral,5,50,5.00,44,0.81757678,0.07676725,10.65007220,-0.02615124,0.10996238,0.92003632,24.11069959,0.14636364,0.70454545
regime_gated_2026_ytd,raw,5,50,10.00,44,2.18146809,0.11468191,19.02190254,-0.04515423,0.22394068,2.36283297,27.74283039,0.09136364,0.75000000
regime_gated_2026_ytd,industry_size_neutral,5,50,10.00,44,0.78444812,0.07671431,10.22557800,-0.02678622,0.10640310,0.88503362,23.13646613,0.14636364,0.70454545
regime_gated_2026_ytd,raw,5,50,20.00,44,2.10939588,0.11463354,18.40121029,-0.04580730,0.21905359,2.28662092,26.81313713,0.09136364,0.75000000
regime_gated_2026_ytd,industry_size_neutral,5,50,20.00,44,0.71998148,0.07663041,9.39550648,-0.02805510,0.09931764,0.81692053,21.22757505,0.14636364,0.65909091
