date,chosen_adapter_weight,reason,lagged_proxy_ic,lagged_adapter_ic,market_ret_20,market_vol_20,history_days
2026-04-08,0.000000,cold_start,0.00000000,0.00000000,nan,nan,0
2026-04-09,0.000000,cold_start,0.00000000,0.00000000,0.03489151,0.00000000,0
2026-04-10,0.000000,cold_start,0.00000000,0.00000000,0.01425438,0.02063713,0
2026-04-13,0.000000,cold_start,0.00000000,0.00000000,0.01463785,0.01685887,0
2026-04-14,0.000000,cold_start,0.00000000,0.00000000,0.01149543,0.01558174,0
2026-04-15,0.000000,cold_start,0.00000000,0.00000000,0.01156945,0.01393752,0
2026-04-16,0.000000,cold_start,0.00000000,0.00000000,0.00907266,0.01389419,1
2026-04-17,0.000000,cold_start,0.00000000,0.00000000,0.00934262,0.01288050,2
2026-04-20,0.000000,cold_start,0.00000000,0.00000000,0.00796536,0.01258757,3
2026-04-21,0.000000,cold_start,0.00000000,0.00000000,0.00775634,0.01188239,4
2026-04-22,0.000000,cold_start,0.00000000,0.00000000,0.00720257,0.01139438,5
2026-04-23,0.000000,cold_start,0.00000000,0.00000000,0.00715087,0.01086535,6
2026-04-24,0.000000,cold_start,0.00000000,0.00000000,0.00632405,0.01075815,7
2026-04-27,0.000000,cold_start,0.00000000,0.00000000,0.00556503,0.01066527,8
2026-04-28,0.000000,cold_start,0.00000000,0.00000000,0.00519117,0.01036534,9
2026-04-29,0.000000,cold_start,0.00000000,0.00000000,0.00466709,0.01020406,10
2026-04-30,0.000000,cold_start,0.00000000,0.00000000,0.00506024,0.00999669,11
2026-05-06,0.000000,cold_start,0.00000000,0.00000000,0.00472541,0.00979026,12
2026-05-07,0.000000,cold_start,0.00000000,0.00000000,0.00526937,0.00977519,13
2026-05-08,0.000000,cold_start,0.00000000,0.00000000,0.00524474,0.00951505,14
2026-05-11,0.000000,cold_start,0.00000000,0.00000000,0.00469072,0.00958338,15
2026-05-12,0.000000,cold_start,0.00000000,0.00000000,0.00376640,0.00722798,16
2026-05-13,0.000000,cold_start,0.00000000,0.00000000,0.00404727,0.00693119,17
2026-05-14,0.000000,cold_start,0.00000000,0.00000000,0.00378526,0.00658743,18
2026-05-15,0.000000,cold_start,0.00000000,0.00000000,0.00284413,0.00796587,19
2026-05-18,0.000000,base,0.21579213,0.12471670,0.00169125,0.00824060,20
2026-05-19,0.000000,base,0.21171907,0.11966491,0.00159359,0.00831175,21
2026-05-20,0.000000,base,0.21458759,0.11777935,0.00124574,0.00805397,22
2026-05-21,0.000000,base,0.21362284,0.11146622,0.00130702,0.00803615,23
2026-05-22,0.000000,base,0.21565291,0.10703417,0.00030597,0.00860552,24
2026-05-25,0.000000,base,0.22854996,0.11036044,0.00084314,0.00903284,25
2026-05-26,0.000000,base,0.24420838,0.11694561,0.00130092,0.00953287,26
2026-05-27,0.000000,base,0.24958974,0.11688683,0.00170617,0.00952343,27
2026-05-28,0.000000,base,0.25302874,0.11708672,0.00148237,0.00969521,28
2026-05-29,0.000000,base,0.26343671,0.12540891,0.00152737,0.00969185,29
2026-06-01,0.000000,base,0.26091389,0.12372244,0.00143610,0.00973943,30
2026-06-02,0.000000,base,0.24720525,0.11290181,0.00039901,0.00977460,31
2026-06-03,0.000000,base,0.23694376,0.10886991,0.00115624,0.01024090,32
2026-06-04,0.400000,exposure_penalty,0.23249701,0.10851912,0.00067712,0.00982014,33
2026-06-05,0.400000,exposure_penalty,0.22983145,0.10809594,0.00009220,0.00990510,34
2026-06-08,0.250000,exposure_penalty,0.22688675,0.10779457,-0.00051133,0.01059183,35
2026-06-09,0.250000,exposure_penalty,0.22646905,0.10141708,-0.00240369,0.01077971,36
2026-06-10,0.250000,exposure_penalty,0.22990497,0.09879963,-0.00143010,0.01172185,37
2026-06-11,0.000000,base,0.22421970,0.09133729,-0.00249247,0.01158490,38
