method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate
proxy_2023_2024_overlap,raw,5,20,5.00,419,0.25104412,0.15420228,1.62801826,-0.13095678,0.45122597,0.19159832,1.99427713,0.11980907,0.47494033
proxy_2023_2024_overlap,industry_size_neutral,5,20,5.00,419,0.21024201,0.15343605,1.37022569,-0.22125160,0.37338252,0.15412781,1.91457982,0.11801909,0.47255370
proxy_2023_2024_overlap,raw,5,20,10.00,419,0.23231839,0.15418487,1.50675216,-0.13187488,0.41528816,0.17376000,1.80917087,0.11980907,0.47016706
proxy_2023_2024_overlap,industry_size_neutral,5,20,10.00,419,0.19239801,0.15339216,1.25428846,-0.22802850,0.33987869,0.13710517,1.70401653,0.11801909,0.47255370
proxy_2023_2024_overlap,raw,5,20,20.00,419,0.19569942,0.15415525,1.26949567,-0.13949340,0.34605252,0.13887649,1.44674859,0.11980907,0.45584726
proxy_2023_2024_overlap,industry_size_neutral,5,20,20.00,419,0.15749157,0.15330899,1.02728204,-0.24140730,0.27529602,0.10380571,1.29136549,0.11801909,0.45823389
proxy_2023_2024_overlap,raw,5,30,5.00,419,0.22648970,0.14220905,1.59265328,-0.13239863,0.40417532,0.16810627,2.19289723,0.10978520,0.47016706
proxy_2023_2024_overlap,industry_size_neutral,5,30,5.00,419,0.19356957,0.13807041,1.40196276,-0.18584959,0.34206828,0.13727700,2.22434612,0.11249006,0.48448687
proxy_2023_2024_overlap,raw,5,30,10.00,419,0.20965670,0.14218706,1.47451325,-0.13677340,0.37227832,0.15207211,1.98482801,0.10978520,0.46778043
proxy_2023_2024_overlap,industry_size_neutral,5,30,10.00,419,0.17678955,0.13802311,1.28086915,-0.19272260,0.31084332,0.12128247,1.96690129,0.11249006,0.48448687
proxy_2023_2024_overlap,raw,5,30,20.00,419,0.17667732,0.14214673,1.24292209,-0.14545779,0.31063547,0.12065793,1.57641018,0.10978520,0.45823389
proxy_2023_2024_overlap,industry_size_neutral,5,30,20.00,419,0.14393064,0.13793185,1.04349102,-0.20629629,0.25055005,0.08996199,1.46134277,0.11249006,0.47494033
proxy_2023_2024_overlap,raw,5,50,5.00,419,0.21619072,0.12657509,1.70800375,-0.11505759,0.38462500,0.15743081,2.76213585,0.09727924,0.47971360
proxy_2023_2024_overlap,industry_size_neutral,5,50,5.00,419,0.17320228,0.12489068,1.38683117,-0.15818865,0.30420605,0.11704347,2.69683670,0.09527446,0.49642005
proxy_2023_2024_overlap,raw,5,50,10.00,419,0.20138770,0.12655903,1.59125518,-0.11722075,0.35671648,0.14334068,2.51657006,0.09727924,0.47971360
proxy_2023_2024_overlap,industry_size_neutral,5,50,10.00,419,0.15921581,0.12485456,1.27521020,-0.16440021,0.27845626,0.10372106,2.39172373,0.09527446,0.49164678
proxy_2023_2024_overlap,raw,5,50,20.00,419,0.17231753,0.12652951,1.36187617,-0.12250102,0.30257111,0.11567056,2.03323527,0.09727924,0.47255370
proxy_2023_2024_overlap,industry_size_neutral,5,50,20.00,419,0.13173884,0.12478463,1.05572974,-0.17668714,0.22846774,0.07754884,1.79071733,0.09527446,0.48687351
