method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate
risk_gated_2023_2024,raw,5,20,5.00,419,0.28323780,0.13819186,2.04959822,-0.12067041,0.51384745,0.22061178,2.56097215,0.16503580,0.51073986
risk_gated_2023_2024,industry_size_neutral,5,20,5.00,419,0.19782410,0.13399375,1.47636814,-0.18021771,0.35003180,0.14026894,2.05647017,0.16539379,0.49164678
risk_gated_2023_2024,raw,5,20,10.00,419,0.25686032,0.13814820,1.85930992,-0.12291849,0.46246124,0.19551927,2.27200824,0.16503580,0.50596659
risk_gated_2023_2024,industry_size_neutral,5,20,10.00,419,0.17313800,0.13398085,1.29225925,-0.19170928,0.30408722,0.11676740,1.71334317,0.16539379,0.49164678
risk_gated_2023_2024,raw,5,20,20.00,419,0.20571289,0.13807136,1.48990268,-0.12739817,0.36484744,0.14686360,1.70977938,0.16503580,0.49403341
risk_gated_2023_2024,industry_size_neutral,5,20,20.00,419,0.12527428,0.13396488,0.93512781,-0.21421512,0.21682255,0.07120053,1.04618398,0.16539379,0.48448687
risk_gated_2023_2024,raw,5,30,5.00,419,0.29546602,0.13107426,2.25418804,-0.10506687,0.53790877,0.23262716,3.33662305,0.14892601,0.52028640
risk_gated_2023_2024,industry_size_neutral,5,30,5.00,419,0.19151513,0.12564381,1.52427030,-0.16131684,0.33822957,0.13398918,2.45483116,0.15640414,0.48448687
risk_gated_2023_2024,raw,5,30,10.00,419,0.27140796,0.13106552,2.07078069,-0.10756252,0.49071417,0.20973361,3.00970799,0.14892601,0.51312649
risk_gated_2023_2024,industry_size_neutral,5,30,10.00,419,0.16828275,0.12561290,1.33969324,-0.17177547,0.29512562,0.11187449,2.05216187,0.15640414,0.47971360
risk_gated_2023_2024,raw,5,30,20.00,419,0.22461759,0.13105537,1.71391370,-0.11253370,0.40061340,0.16520823,2.37258643,0.14892601,0.50596659
risk_gated_2023_2024,industry_size_neutral,5,30,20.00,419,0.12316196,0.12555812,0.98091586,-0.19230602,0.21302701,0.06892464,1.26702706,0.15640414,0.47016706
risk_gated_2023_2024,raw,5,50,5.00,419,0.26934577,0.12168820,2.21340909,-0.08545979,0.48669609,0.20748505,3.79587196,0.13002387,0.51789976
risk_gated_2023_2024,industry_size_neutral,5,50,5.00,419,0.18272955,0.11985281,1.52461627,-0.14830242,0.32186322,0.12556247,3.06880024,0.13670644,0.48687351
risk_gated_2023_2024,raw,5,50,10.00,419,0.24874142,0.12166239,2.04452180,-0.08731914,0.44678734,0.18788139,3.44072085,0.13002387,0.51073986
risk_gated_2023_2024,industry_size_neutral,5,50,10.00,419,0.16254625,0.11983258,1.35644454,-0.15796766,0.28456919,0.10634992,2.60067365,0.13670644,0.48210024
risk_gated_2023_2024,raw,5,50,20.00,419,0.20852613,0.12161537,1.71463639,-0.09728349,0.37014648,0.14961941,2.74508872,0.13002387,0.50596659
risk_gated_2023_2024,industry_size_neutral,5,50,20.00,419,0.12320233,0.11979773,1.02841962,-0.17697277,0.21309952,0.06889856,1.68602503,0.13670644,0.47732697
