method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate
proxy_2025_overlap,raw,5,20,5.00,183,2.23709034,0.13855897,16.14540247,-0.07662620,1.34676483,1.22388757,11.19881995,0.10874317,0.71038251
proxy_2025_overlap,industry_size_neutral,5,20,5.00,183,1.75488667,0.12465624,14.07780835,-0.08583693,1.08736858,0.89125631,9.26383460,0.12568306,0.67759563
proxy_2025_overlap,raw,5,20,10.00,183,2.19323850,0.13856234,15.82853248,-0.07718506,1.32363553,1.19371505,10.92144088,0.10874317,0.71038251
proxy_2025_overlap,industry_size_neutral,5,20,10.00,183,1.71179579,0.12458950,13.73948639,-0.08778091,1.06360748,0.86162028,8.95846238,0.12568306,0.67759563
proxy_2025_overlap,raw,5,20,20.00,183,2.10729985,0.13857419,15.20701522,-0.07830189,1.27805374,1.13458632,10.37739058,0.10874317,0.70491803
proxy_2025_overlap,industry_size_neutral,5,20,20.00,183,1.62761576,0.12446210,13.07720003,-0.09165688,1.01688820,0.80372739,8.36082652,0.12568306,0.67759563
proxy_2025_overlap,raw,5,30,5.00,183,1.70377585,0.12276082,13.87882398,-0.07116189,1.05917377,0.85642222,9.31437128,0.10418944,0.72677596
proxy_2025_overlap,industry_size_neutral,5,30,5.00,183,1.43186889,0.10558789,13.56091954,-0.07546005,0.90662844,0.66857953,8.93153896,0.11056466,0.71038251
proxy_2025_overlap,raw,5,30,10.00,183,1.66864920,0.12276075,13.59269258,-0.07147412,1.03971185,0.83226512,9.04955436,0.10418944,0.72131148
proxy_2025_overlap,industry_size_neutral,5,30,10.00,183,1.39834445,0.10557429,13.24512265,-0.07603390,0.88750519,0.64553947,8.62219170,0.11056466,0.70491803
proxy_2025_overlap,raw,5,30,20.00,183,1.59975227,0.12276526,13.03098553,-0.07209831,1.00133432,0.78488522,8.52986868,0.10418944,0.71584699
proxy_2025_overlap,industry_size_neutral,5,30,20.00,183,1.33266922,0.10555154,12.62576718,-0.07718064,0.84982848,0.60040494,8.01578636,0.11056466,0.70491803
proxy_2025_overlap,raw,5,50,5.00,183,1.29159950,0.10233780,12.62094264,-0.06451742,0.82611998,0.57245502,8.44190267,0.09322404,0.73770492
proxy_2025_overlap,industry_size_neutral,5,50,5.00,183,1.10821894,0.08378004,13.22772054,-0.06052981,0.71879667,0.44566229,9.43111173,0.09530055,0.73224044
proxy_2025_overlap,raw,5,50,10.00,183,1.26493078,0.10231557,12.36303339,-0.06489372,0.81066252,0.55412300,8.16942781,0.09322404,0.73224044
proxy_2025_overlap,industry_size_neutral,5,50,10.00,183,1.08313261,0.08375386,12.93233118,-0.06100196,0.70391996,0.42843044,9.06382987,0.09530055,0.72131148
proxy_2025_overlap,raw,5,50,20.00,183,1.21251635,0.10227483,11.85547136,-0.06564591,0.78013641,0.51809456,7.63363769,0.09322404,0.72131148
proxy_2025_overlap,industry_size_neutral,5,50,20.00,183,1.03384773,0.08370579,12.35096960,-0.06194562,0.67454920,0.39457759,8.34146988,0.09530055,0.72131148
