method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate
proxy_2026_ytd_overlap,raw,5,20,5.00,44,8.07015415,0.15897009,50.76523462,-0.02324383,0.46961157,8.59000001,63.53977914,0.12727273,0.88636364
proxy_2026_ytd_overlap,industry_size_neutral,5,20,5.00,44,3.21155262,0.12356607,25.99057025,-0.03066648,0.28537425,3.45391967,38.17514202,0.17159091,0.70454545
proxy_2026_ytd_overlap,raw,5,20,10.00,44,7.92698691,0.15905113,49.83923662,-0.02370895,0.46553466,8.43856698,62.34101672,0.12727273,0.88636364
proxy_2026_ytd_overlap,industry_size_neutral,5,20,10.00,44,3.12197590,0.12356572,25.26571136,-0.03137084,0.28055833,3.35917696,37.09401744,0.17159091,0.70454545
proxy_2026_ytd_overlap,raw,5,20,20.00,44,7.64735881,0.15922137,48.02972708,-0.02463860,0.45741364,8.14279728,60.00080574,0.12727273,0.88636364
proxy_2026_ytd_overlap,industry_size_neutral,5,20,20.00,44,2.94846613,0.12358526,23.85774922,-0.03277825,0.27097877,3.17566134,34.99295374,0.17159091,0.70454545
proxy_2026_ytd_overlap,raw,5,30,5.00,44,5.57651962,0.15525458,35.91855254,-0.04215735,0.38939176,5.95548385,46.12891529,0.09469697,0.77272727
proxy_2026_ytd_overlap,industry_size_neutral,5,30,5.00,44,1.90528587,0.09872275,19.29935944,-0.02757222,0.20468707,2.07045188,32.03518754,0.16439394,0.68181818
proxy_2026_ytd_overlap,raw,5,30,10.00,44,5.49905412,0.15529022,35.41146547,-0.04246211,0.38652025,5.87352919,45.46143262,0.09469697,0.77272727
proxy_2026_ytd_overlap,industry_size_neutral,5,30,10.00,44,1.84599682,0.09863258,18.71589308,-0.02815709,0.20035794,2.00777182,31.04588143,0.16439394,0.68181818
proxy_2026_ytd_overlap,raw,5,30,20.00,44,5.34683237,0.15536841,34.41389614,-0.04307137,0.38079436,5.71248701,44.14872611,0.09469697,0.77272727
proxy_2026_ytd_overlap,industry_size_neutral,5,30,20.00,44,1.73100411,0.09847413,17.57826235,-0.02932590,0.19174481,1.88620335,29.11444346,0.16439394,0.65909091
proxy_2026_ytd_overlap,raw,5,50,5.00,44,2.17083488,0.11414450,19.01830471,-0.04494593,0.22322544,2.35136685,27.57946109,0.08454545,0.77272727
proxy_2026_ytd_overlap,industry_size_neutral,5,50,5.00,44,0.86668604,0.07879535,10.99920342,-0.02657158,0.11514131,0.97221016,25.46748309,0.13545455,0.70454545
proxy_2026_ytd_overlap,raw,5,50,10.00,44,2.13739665,0.11411885,18.72956695,-0.04521460,0.22096327,2.31601241,27.15257314,0.08454545,0.75000000
proxy_2026_ytd_overlap,industry_size_neutral,5,50,10.00,44,0.83518397,0.07872121,10.60938929,-0.02708877,0.11183232,0.93892010,24.56671967,0.13545455,0.70454545
proxy_2026_ytd_overlap,raw,5,50,20.00,44,2.07156753,0.11407533,18.15964481,-0.04575176,0.21645099,2.24641125,26.30972783,0.08454545,0.75000000
proxy_2026_ytd_overlap,industry_size_neutral,5,50,20.00,44,0.77375652,0.07859502,9.84485377,-0.02812245,0.10524277,0.87400651,22.78789389,0.13545455,0.65909091
