method,variant,horizon,topk,cost_bps,days,ann_return,ann_vol,sharpe,mdd,cum_return,active_ann_return,active_sharpe,avg_turnover,hit_rate
risk_gated_2026_ytd,raw,5,20,5.00,44,8.80503571,0.16377410,53.76329766,-0.02319099,0.48973895,9.37032237,67.74930070,0.13295455,0.88636364
risk_gated_2026_ytd,industry_size_neutral,5,20,5.00,44,3.26008057,0.12295874,26.51361335,-0.02849856,0.28794806,3.50496026,38.81756989,0.18295455,0.68181818
risk_gated_2026_ytd,raw,5,20,10.00,44,8.64346428,0.16385694,52.75006504,-0.02370512,0.48542326,9.19935571,66.42480309,0.13295455,0.88636364
risk_gated_2026_ytd,industry_size_neutral,5,20,10.00,44,3.16355917,0.12292691,25.73528660,-0.02937468,0.28280461,3.40287456,37.66321919,0.18295455,0.68181818
risk_gated_2026_ytd,raw,5,20,20.00,44,8.32822250,0.16403021,50.77249063,-0.02473267,0.47682816,8.86578674,63.84271947,0.13295455,0.88636364
risk_gated_2026_ytd,industry_size_neutral,5,20,20.00,44,2.97699328,0.12288260,24.22632061,-0.03112484,0.27257733,3.20555447,35.42434155,0.18295455,0.68181818
risk_gated_2026_ytd,raw,5,30,5.00,44,5.70987182,0.15746563,36.26106834,-0.04339643,0.39427014,6.09738292,46.62558872,0.09772727,0.77272727
risk_gated_2026_ytd,industry_size_neutral,5,30,5.00,44,1.94931715,0.09867566,19.75479208,-0.02590451,0.20785517,2.11692306,32.66850038,0.16818182,0.68181818
risk_gated_2026_ytd,raw,5,30,10.00,44,5.62832428,0.15750487,35.73428815,-0.04374908,0.39129653,6.01110242,45.93242389,0.09772727,0.77272727
risk_gated_2026_ytd,industry_size_neutral,5,30,10.00,44,1.88774937,0.09862400,19.14087298,-0.02657163,0.20341425,2.05184187,31.63022740,0.16818182,0.68181818
risk_gated_2026_ytd,raw,5,30,20.00,44,5.46817215,0.15758994,34.69873779,-0.04445405,0.38536763,5.84165601,44.57023695,0.09772727,0.77272727
risk_gated_2026_ytd,industry_size_neutral,5,30,20.00,44,1.76842216,0.09854238,17.94580356,-0.02790465,0.19457980,1.92570603,29.60734408,0.16818182,0.65909091
risk_gated_2026_ytd,raw,5,50,5.00,44,2.20173508,0.11541507,19.07666944,-0.04572588,0.22529848,2.38435815,27.79444526,0.08772727,0.77272727
risk_gated_2026_ytd,industry_size_neutral,5,50,5.00,44,0.80988808,0.07741357,10.46183568,-0.02688146,0.10914112,0.91196948,23.54474830,0.14409091,0.70454545
risk_gated_2026_ytd,raw,5,50,10.00,44,2.16671333,0.11537509,18.77973244,-0.04602326,0.22294768,2.34732445,27.35430485,0.08772727,0.75000000
risk_gated_2026_ytd,industry_size_neutral,5,50,10.00,44,0.77741159,0.07732621,10.05366281,-0.02747670,0.10564009,0.87765194,22.62402810,0.14409091,0.70454545
risk_gated_2026_ytd,raw,5,50,20.00,44,2.09780762,0.11530300,18.19386839,-0.04661778,0.21825910,2.27446066,26.48558922,0.08772727,0.75000000
risk_gated_2026_ytd,industry_size_neutral,5,50,20.00,44,0.71418695,0.07717231,9.25444606,-0.02866624,0.09867009,0.81084367,20.81571362,0.14409091,0.65909091
