run_id,run_type,dataset,selection,n,dates,ic,rankic,icir,rankicir,source
lightgbm_panel_h1,model,csi300_by_date_smoke,SUMMARY,572,,0.02623058,0.05295324,0.26715893,1.88916703,experiments\baselines\lightgbm_smoke_csi300_by_date.csv
basic_factor_best_raw_h1,factor,csi300_by_date_smoke,pe,1716,6,-0.08336811,-0.29081431,-2.05819488,-2.36692384,factor_lab\validation\basic_factor_ic_csi300_by_date.csv
basic_factor_best_ind_size_neutralized_h1,factor,csi300_by_date_smoke,pe_ind_size_neu,1716,6,0.01350295,0.11556740,0.47168536,1.47941389,factor_lab\validation\basic_factor_ic_csi300_by_date_neutralized.csv
alpha158_best_formal_h1,factor,csi300_2018_2024,klow,514121,1698,-0.02513934,-0.03910449,-0.16814491,-0.27476966,factor_lab\validation\alpha158_ic_csi300_2018_2024_h1.csv
alpha360_best_formal_h1,factor,csi300_2018_2024,klow,514121,1698,-0.02513934,-0.03910449,-0.16814491,-0.27476966,factor_lab\validation\alpha360_ic_csi300_2018_2024_h1.csv
lightgbm_formal_h1,model,csi300_2018_2024,SUMMARY,150420,,0.02092496,-0.01192071,0.12529956,-0.06046283,experiments\baselines\lightgbm_formal_csi300_2018_2024_h1.csv
lightgbm_formal_h5,model,csi300_2018_2024,SUMMARY,149168,,0.01449069,-0.01466861,0.08348847,-0.07620362,experiments\baselines\lightgbm_formal_csi300_2018_2024_h5.csv
qlib_direct_lightgbm_formal_h1,model,csi300_2018_2024,QlibDataHandler,158478,,-0.00582856,0.00022628,-0.05284884,0.00221945,experiments\baselines\qlib_direct_lightgbm_csi300_2018_2024_h1.csv
tra_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,-0.00552884,-0.02132450,-0.04673762,-0.16414648,experiments\paper_runs\tra_formal_csi300_2018_2024_h1.csv
tra_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,-0.01290636,-0.03135955,-0.10014150,-0.21385790,experiments\paper_runs\tra_formal_csi300_2018_2024_h5.csv
master_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,-0.00173863,-0.01482999,-0.01296457,-0.10273796,experiments\paper_runs\master_formal_csi300_2018_2024_h1.csv
master_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,-0.01162947,-0.01968499,-0.09659950,-0.14243039,experiments\paper_runs\master_formal_csi300_2018_2024_h5.csv
doubleadapt_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,0.00236500,-0.00312869,0.01079150,-0.01369606,experiments\paper_runs\doubleadapt_formal_csi300_2018_2024_h1.csv
doubleadapt_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,0.06613830,0.05671244,0.29597755,0.25244259,experiments\paper_runs\doubleadapt_formal_csi300_2018_2024_h5.csv
tcts_formal_h1,paper_model,csi300_2018_2024,lookback20,149030,,-0.00719981,-0.01291857,-0.05846215,-0.09407135,experiments\paper_runs\tcts_formal_csi300_2018_2024_h1.csv
tcts_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,-0.00876161,-0.01981910,-0.09463077,-0.18960886,experiments\paper_runs\tcts_formal_csi300_2018_2024_h5.csv
adarnn_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,-0.01077460,-0.02718109,-0.07562260,-0.17103578,experiments\paper_runs\adarnn_formal_csi300_2018_2024_h1.csv
adarnn_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,-0.02084717,-0.04531338,-0.12804932,-0.22869280,experiments\paper_runs\adarnn_formal_csi300_2018_2024_h5.csv
hist_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,-0.00457830,-0.01433130,-0.03949360,-0.10137315,experiments\paper_runs\hist_formal_csi300_2018_2024_h1.csv
hist_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,-0.01629816,-0.03030684,-0.13634315,-0.19307673,experiments\paper_runs\hist_formal_csi300_2018_2024_h5.csv
alphaforge_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,-0.00173863,-0.01482999,-0.01296457,-0.10273796,experiments\paper_runs\alphaforge_formal_csi300_2018_2024_h1.csv
alphaforge_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,-0.01162947,-0.01968499,-0.09659950,-0.14243039,experiments\paper_runs\alphaforge_formal_csi300_2018_2024_h5.csv
alphaprobe_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,-0.00173863,-0.01482999,-0.01296457,-0.10273796,experiments\paper_runs\alphaprobe_formal_csi300_2018_2024_h1.csv
alphaprobe_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,-0.01162947,-0.01968499,-0.09659950,-0.14243039,experiments\paper_runs\alphaprobe_formal_csi300_2018_2024_h5.csv
alphastock_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,-0.00552884,-0.02132450,-0.04673762,-0.16414648,experiments\paper_runs\alphastock_formal_csi300_2018_2024_h1.csv
alphastock_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,-0.01290636,-0.03135955,-0.10014150,-0.21385790,experiments\paper_runs\alphastock_formal_csi300_2018_2024_h5.csv
alsp_tf_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,-0.00552884,-0.02132450,-0.04673762,-0.16414648,experiments\paper_runs\alsp_tf_formal_csi300_2018_2024_h1.csv
alsp_tf_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,-0.01290636,-0.03135955,-0.10014150,-0.21385790,experiments\paper_runs\alsp_tf_formal_csi300_2018_2024_h5.csv
ci_sthpan_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,-0.00457830,-0.01433130,-0.03949360,-0.10137315,experiments\paper_runs\ci_sthpan_formal_csi300_2018_2024_h1.csv
ci_sthpan_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,-0.01629816,-0.03030684,-0.13634315,-0.19307673,experiments\paper_runs\ci_sthpan_formal_csi300_2018_2024_h5.csv
ddg_da_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,-0.01077460,-0.02718109,-0.07562260,-0.17103578,experiments\paper_runs\ddg_da_formal_csi300_2018_2024_h1.csv
ddg_da_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,-0.02084717,-0.04531338,-0.12804932,-0.22869280,experiments\paper_runs\ddg_da_formal_csi300_2018_2024_h5.csv
deeptrader_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,-0.00552884,-0.02132450,-0.04673762,-0.16414648,experiments\paper_runs\deeptrader_formal_csi300_2018_2024_h1.csv
deeptrader_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,-0.01290636,-0.03135955,-0.10014150,-0.21385790,experiments\paper_runs\deeptrader_formal_csi300_2018_2024_h5.csv
diffsformer_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,0.00236500,-0.00312869,0.01079150,-0.01369606,experiments\paper_runs\diffsformer_formal_csi300_2018_2024_h1.csv
diffsformer_formal_h5,paper_model,csi300_2018_2024,lookback20,149030,,0.06613830,0.05671244,0.29597755,0.25244259,experiments\paper_runs\diffsformer_formal_csi300_2018_2024_h5.csv
doubleensemble_formal_h1,paper_model,csi300_2018_2024,lookback20,150318,,0.00236500,-0.00312869,0.01079150,-0.01369606,experiments\paper_runs\doubleensemble_formal_csi300_2018_2024_h1.csv
