rank,factor,depth,node_count,train_rank_ic,train_rank_icir,mean_ic,icir,rank_ic,rank_icir,turnover,cost_bps,long_short_return,cost_adjusted_return,max_drawdown,max_prior_factor_corr,promotion_status,test_days
1,zscore10(ret5(close)),3,3,0.00352717,0.01476258,0.00963685,0.03591676,0.02061124,0.07696077,0.73185391,10.00,0.00312373,0.00239188,-0.69279312,0.00000000,promoted,721
2,ret1(close),2,2,-0.02553344,-0.10034868,-0.00212605,-0.00679087,-0.00159069,-0.00570078,0.90707351,10.00,-0.00163895,-0.00254602,-0.96317916,0.00000000,research_only,721
3,ts_mean3(ret1(close)),3,3,-0.03164511,-0.12571155,-0.01556000,-0.05061678,-0.00837560,-0.03034021,0.62182154,10.00,-0.00385634,-0.00447816,-0.98790551,0.00000000,research_only,721
4,zscore3(ret1(close)),3,3,-0.02394558,-0.10141451,0.00384652,0.01421745,-0.00114442,-0.00439733,0.96347665,10.00,0.00034536,-0.00061812,-0.87323875,0.00000000,research_only,721
5,ts_mean5(ret1(close)),3,3,-0.02827273,-0.11486529,-0.02412042,-0.07743996,-0.01032271,-0.03603661,0.54877485,10.00,-0.00388154,-0.00443031,-0.99593066,0.00000000,research_only,721
6,zscore5(ret1(close)),3,3,-0.02371693,-0.09554873,0.00823835,0.03090475,0.00232312,0.00901183,0.94683310,10.00,-0.00014475,-0.00109159,-0.85400503,0.00000000,research_only,721
7,ts_mean10(ret1(close)),3,3,-0.03230603,-0.12011015,-0.02114464,-0.06890607,-0.02026383,-0.07358999,0.42209894,10.00,-0.00600154,-0.00642364,-0.99823671,0.00000000,research_only,721
8,zscore10(ret1(close)),3,3,-0.02071580,-0.08417865,0.01255252,0.04626448,0.01355179,0.05032345,0.93989829,10.00,0.00024534,-0.00069456,-0.85134786,0.00000000,research_only,721
9,ts_mean20(ret1(close)),3,3,-0.03919246,-0.14627649,-0.00667752,-0.02209416,-0.00652912,-0.02339365,0.32223763,10.00,-0.00053418,-0.00085642,-0.97141183,0.00000000,research_only,721
10,zscore20(ret1(close)),3,3,-0.01636979,-0.06644761,0.00895330,0.03250972,0.00549694,0.02006267,0.93296348,10.00,0.00113362,0.00020066,-0.74906457,0.00000000,research_only,721
11,ret5(close),2,2,-0.02688506,-0.10893489,-0.02425240,-0.07791653,-0.00985034,-0.03426940,0.55154877,10.00,-0.00419149,-0.00474304,-0.99626106,0.00000000,research_only,721
12,ts_mean3(ret5(close)),3,3,-0.02102023,-0.08135773,-0.02774832,-0.09139944,-0.01008012,-0.03617325,0.40036986,10.00,-0.00720763,-0.00760800,-0.99897185,0.00000000,research_only,721
13,zscore3(ret5(close)),3,3,-0.01274088,-0.05220315,0.01161024,0.04486265,0.01242590,0.04845411,0.93712436,10.00,0.00072646,-0.00021066,-0.82172848,0.00000000,research_only,721
14,ts_mean5(ret5(close)),3,3,-0.02215010,-0.08308331,-0.02390367,-0.07936369,-0.01210775,-0.04381428,0.34905224,10.00,-0.00535252,-0.00570157,-0.99697914,0.00000000,research_only,721
15,zscore5(ret5(close)),3,3,-0.00228966,-0.00955263,0.00206060,0.00780766,0.00571605,0.02183421,0.86685160,10.00,-0.00051674,-0.00138360,-0.86910547,0.00000000,research_only,721
16,ts_mean10(ret5(close)),3,3,-0.03509743,-0.12570686,-0.02243921,-0.07420863,-0.02227001,-0.07962304,0.23809524,10.00,-0.00683671,-0.00707480,-0.99862127,0.00000000,research_only,721
17,ts_mean20(ret5(close)),3,3,-0.03427520,-0.12686412,0.00484683,0.01591172,-0.00091479,-0.00319256,0.15765141,10.00,-0.00265602,-0.00281367,-0.98714701,0.00000000,research_only,721
18,zscore20(ret5(close)),3,3,-0.00645289,-0.02738972,-0.00825867,-0.03062423,-0.00014013,-0.00052695,0.61997226,10.00,-0.00111771,-0.00173768,-0.92020759,0.00000000,research_only,721
