rank,factor,depth,node_count,train_rank_ic,train_rank_icir,mean_ic,icir,rank_ic,rank_icir,turnover,cost_bps,long_short_return,cost_adjusted_return,max_drawdown,max_prior_factor_corr,promotion_status,test_days
1,zscore20(ret5(close)),3,3,0.00204342,0.01139346,0.00370204,0.01892438,0.00540812,0.02655219,0.62698262,10.00,0.00052129,-0.00010569,-0.65998187,0.00000000,research_only,721
2,ret1(close),2,2,-0.01535235,-0.07943058,0.00039596,0.00187218,0.00014480,0.00070554,0.91476656,10.00,0.00044327,-0.00047150,-0.75298642,0.00000000,research_only,721
3,ts_mean3(ret1(close)),3,3,-0.01514823,-0.07865449,-0.00667910,-0.03157645,-0.00431851,-0.02055641,0.64849166,10.00,-0.00119474,-0.00184323,-0.88650609,0.00000000,research_only,721
4,zscore3(ret1(close)),3,3,-0.01675223,-0.09800492,-0.00167790,-0.00903925,-0.00285615,-0.01495445,0.97151360,10.00,0.00056347,-0.00040804,-0.65733329,0.00000000,research_only,721
5,ts_mean5(ret1(close)),3,3,-0.01488750,-0.07539470,-0.01117327,-0.05073631,-0.01113057,-0.05036397,0.54707828,10.00,-0.00154686,-0.00209393,-0.92479875,0.00000000,research_only,721
6,zscore5(ret1(close)),3,3,-0.01646755,-0.09146325,0.00230310,0.01217687,0.00216895,0.01097669,0.95166008,10.00,0.00037019,-0.00058147,-0.64205993,0.00000000,research_only,721
7,ts_mean10(ret1(close)),3,3,-0.01485810,-0.07071529,-0.02095796,-0.09414920,-0.02409375,-0.10840554,0.43525457,10.00,-0.00343876,-0.00387402,-0.97500251,0.00000000,research_only,721
8,zscore10(ret1(close)),3,3,-0.01303767,-0.07149528,0.00846698,0.04389396,0.00847456,0.04258034,0.94136730,10.00,0.00136974,0.00042837,-0.63610343,0.00000000,research_only,721
9,ts_mean20(ret1(close)),3,3,-0.02376658,-0.11377038,-0.01354317,-0.05884394,-0.01863817,-0.08123412,0.33292352,10.00,-0.00121986,-0.00155278,-0.96499246,0.00000000,research_only,721
10,zscore20(ret1(close)),3,3,-0.00828948,-0.04512452,0.00655285,0.03377715,0.00555939,0.02756530,0.93142613,10.00,0.00074999,-0.00018144,-0.64061401,0.00000000,research_only,721
11,ret5(close),2,2,-0.01456833,-0.07359074,-0.01114134,-0.05059669,-0.01047580,-0.04732460,0.55167580,10.00,-0.00151359,-0.00206527,-0.92546725,0.00000000,research_only,721
12,ts_mean3(ret5(close)),3,3,-0.01166692,-0.05747417,-0.01603430,-0.07143236,-0.01753518,-0.07733062,0.40693317,10.00,-0.00189900,-0.00230593,-0.93378416,0.00000000,research_only,721
13,zscore3(ret5(close)),3,3,-0.01172895,-0.07072783,0.00958047,0.05066594,0.01137782,0.05992482,0.94735292,10.00,0.00119597,0.00024861,-0.57584217,0.00000000,promoted,721
14,ts_mean5(ret5(close)),3,3,-0.01192645,-0.05738992,-0.01841621,-0.08193080,-0.02158769,-0.09558469,0.36826210,10.00,-0.00179716,-0.00216542,-0.93020818,0.00000000,research_only,721
15,zscore5(ret5(close)),3,3,-0.00693683,-0.04040348,0.00529185,0.02793790,0.00933558,0.04800379,0.86093426,10.00,0.00041338,-0.00044755,-0.72296718,0.00000000,research_only,721
16,ts_mean10(ret5(close)),3,3,-0.01700631,-0.07932593,-0.02507044,-0.11474370,-0.02752857,-0.12632889,0.25533245,10.00,-0.00295704,-0.00321237,-0.97556348,0.00000000,research_only,721
17,zscore10(ret5(close)),3,3,-0.00074133,-0.00422912,0.00847314,0.04434236,0.01270536,0.06402991,0.72450629,10.00,0.00110420,0.00037970,-0.66419723,0.00000000,promoted,721
18,ts_mean20(ret5(close)),3,3,-0.02613814,-0.12498093,-0.01403688,-0.06125490,-0.01971273,-0.08646790,0.18815653,10.00,-0.00199643,-0.00218459,-0.96805978,0.00000000,research_only,721
